,id,dt,i,c,m,p,t
83,DCP,2024-06-13T17:00:39+02:00,R32.38,31.80,0.58,1.82%,clickacompany
84,DKR,2024-06-13T17:05:37+02:00,R156.00,156.00,,,clickacompany
85,DIB,2024-06-13T15:37:50+02:00,R3.80,3.75,0.05,1.33%,clickacompany
86,DLT,2024-06-13T09:00:32+02:00,R0.26,0.26,,,clickacompany
87,DNB,2024-06-13T17:05:37+02:00,R2.30,2.30,,,clickacompany
88,DRA,2024-06-13T17:05:37+02:00,R23.01,23.01,,,clickacompany
89,DRD,2024-06-13T17:08:25+02:00,R15.15,15.62,-0.47,-3.01%,clickacompany
90,DSBP,2024-06-13T16:32:22+02:00,R92.01,93.05,-1.04,-1.12%,clickacompany
91,DSY,2024-06-13T17:07:13+02:00,R118.58,116.80,1.78,1.52%,clickacompany
92,DTC,2024-06-13T17:00:36+02:00,R37.37,38.40,-1.03,-2.68%,clickacompany
93,EEL,2024-06-13T17:05:37+02:00,R0.12,0.12,,,clickacompany
94,ELI,2024-06-13T17:05:37+02:00,R0.01,0.01,,,clickacompany
95,EMH,2024-06-13T17:05:37+02:00,R3.22,3.22,,,clickacompany
96,EMI,2024-06-13T17:00:58+02:00,R10.00,10.00,,,clickacompany
97,EMN,2024-06-13T17:05:37+02:00,R3.27,3.27,,,clickacompany
98,ENX,2024-06-13T16:40:40+02:00,R9.45,9.20,0.25,2.72%,clickacompany
99,EOH,2024-06-13T16:37:10+02:00,R1.57,1.55,0.02,1.29%,clickacompany
100,EPE,2024-06-13T17:00:41+02:00,R3.62,3.75,-0.13,-3.47%,clickacompany
101,EPS,2024-06-13T17:05:37+02:00,R1.80,1.80,,,clickacompany
102,EQU,2024-06-13T17:00:25+02:00,R12.70,12.78,-0.08,-0.63%,clickacompany
103,EUZ,2024-06-13T17:06:01+02:00,R0.35,0.30,0.05,16.67%,clickacompany
104,EXP,2024-06-13T17:05:37+02:00,R11.50,11.50,,,clickacompany
105,EXX,2024-06-13T17:00:43+02:00,R170.50,171.90,-1.40,-0.81%,clickacompany
106,FTA,2024-06-13T16:45:00+02:00,R15.20,15.00,0.20,1.33%,clickacompany
107,FTB,2024-06-13T17:06:05+02:00,R3.90,3.91,-0.01,-0.26%,clickacompany
108,FBR,2024-06-13T17:00:48+02:00,R49.51,49.81,-0.30,-0.60%,clickacompany
109,FFB,2024-06-13T17:00:04+02:00,R15.79,15.95,-0.16,-1.00%,clickacompany
110,FGL,2024-06-13T16:45:15+02:00,R0.57,0.51,0.06,11.76%,clickacompany
111,FTH,2024-06-13T11:37:06+02:00,R6.25,6.55,-0.30,-4.58%,clickacompany
112,FSR,2024-06-13T17:00:42+02:00,R68.55,66.97,1.58,2.36%,clickacompany
113,GML,2024-06-13T14:35:44+02:00,R2.80,2.80,,,clickacompany
114,GFI,2024-06-13T17:07:18+02:00,R258.57,291.35,-32.78,-11.25%,clickacompany
115,GLN,2024-06-13T17:00:25+02:00,R107.28,110.30,-3.02,-2.74%,clickacompany
116,GND,2024-06-13T17:00:52+02:00,R13.35,13.43,-0.08,-0.60%,clickacompany
117,GNDP,2024-06-13T14:20:43+02:00,R86.24,88.00,-1.76,-2.00%,clickacompany
118,GPL,2024-06-13T16:33:22+02:00,R3.55,3.60,-0.05,-1.39%,clickacompany
119,GSH,2024-06-13T17:05:37+02:00,R251.95,251.95,,,clickacompany
120,GRT,2024-06-13T17:00:20+02:00,R11.33,11.42,-0.09,-0.79%,clickacompany
121,GTC,2024-06-13T17:05:37+02:00,R40.00,40.00,,,clickacompany
122,HAR,2024-06-13T17:08:54+02:00,R156.20,156.88,-0.68,-0.43%,clickacompany
123,HCI,2024-06-13T17:00:20+02:00,R158.79,159.85,-1.06,-0.66%,clickacompany
124,HDC,2024-06-13T17:00:43+02:00,R168.10,168.00,0.10,0.06%,clickacompany
125,HET,2024-06-13T17:05:37+02:00,R14.00,14.00,,,clickacompany
126,HIL,2024-06-13T17:05:37+02:00,R25.00,25.00,,,clickacompany
127,HLM,2024-06-13T17:00:23+02:00,R3.55,3.56,-0.01,-0.28%,clickacompany
128,HMN,2024-06-13T17:00:11+02:00,R6.68,6.80,-0.12,-1.76%,clickacompany
129,HUG,2024-06-13T17:05:37+02:00,R2.24,2.24,,,clickacompany
130,HYP,2024-06-13T17:00:58+02:00,R28.41,28.90,-0.49,-1.70%,clickacompany
131,IBX,2024-06-13T17:05:37+02:00,R97.30,97.30,,,clickacompany
132,IMP,2024-06-13T17:07:12+02:00,R86.26,87.64,-1.38,-1.57%,clickacompany
133,INL,2024-06-13T17:00:04+02:00,R128.12,128.47,-0.35,-0.27%,clickacompany
134,INP,2024-06-13T17:00:02+02:00,R127.74,128.00,-0.26,-0.20%,clickacompany
135,INPP,2024-06-13T17:05:37+02:00,R122.00,122.00,,,clickacompany
136,INPPR,2024-06-13T12:58:00+02:00,R83.70,83.70,,,clickacompany
137,INPR,2024-06-13T16:32:20+02:00,R83.00,84.00,-1.00,-1.19%,clickacompany
138,IVT,2024-06-13T17:00:32+02:00,R26.50,26.00,0.50,1.92%,clickacompany
139,IVTP,2024-06-13T17:00:39+02:00,R109.00,99.75,9.25,9.27%,clickacompany
140,ISA,2024-06-13T16:42:29+02:00,R1.95,1.97,-0.02,-1.02%,clickacompany
141,ISB,2024-06-13T12:15:55+02:00,R0.73,0.73,,,clickacompany
142,ITE,2024-06-13T17:00:20+02:00,R9.70,9.64,0.06,0.62%,clickacompany
143,JBL,2024-06-13T16:36:58+02:00,R1.82,1.85,-0.03,-1.62%,clickacompany
144,JSE,2024-06-13T17:00:34+02:00,R94.78,95.03,-0.25,-0.26%,clickacompany
145,KAL,2024-06-13T17:00:50+02:00,R46.86,45.00,1.86,4.13%,clickacompany
146,KAP,2024-06-13T17:00:41+02:00,R2.46,2.48,-0.02,-0.81%,clickacompany
147,KRO,2024-06-13T17:00:31+02:00,R650.27,590.01,60.26,10.21%,clickacompany
148,KBO,2024-06-13T17:05:37+02:00,R0.01,0.01,,,clickacompany
149,KIO,2024-06-13T17:08:00+02:00,R441.36,436.68,4.68,1.07%,clickacompany
150,KP2,2024-06-13T16:34:44+02:00,R0.50,0.51,-0.01,-1.96%,clickacompany
151,KST,2024-06-13T17:00:19+02:00,R16.45,16.71,-0.26,-1.56%,clickacompany
152,LAB,2024-06-13T17:05:37+02:00,R0.07,0.07,,,clickacompany
153,LSK,2024-06-13T15:30:00+02:00,R84.00,89.36,-5.36,-6.00%,clickacompany
154,LEW,2024-06-13T17:00:14+02:00,R50.44,50.75,-0.31,-0.61%,clickacompany
155,LHC,2024-06-13T17:00:41+02:00,R11.65,11.76,-0.11,-0.94%,clickacompany
156,LBR,2024-06-13T16:44:59+02:00,R3.70,3.55,0.15,4.23%,clickacompany
157,LTE,2024-06-13T17:00:20+02:00,R7.82,7.78,0.04,0.51%,clickacompany
158,LNF,2024-06-13T17:05:37+02:00,R12.00,12.00,,,clickacompany
159,MHB,2024-06-13T17:05:37+02:00,R4.60,4.60,,,clickacompany
160,MTU,2024-06-13T13:58:25+02:00,R1.50,1.40,0.10,7.14%,clickacompany
161,MCZ,2024-06-13T17:05:37+02:00,R1.90,1.90,,,clickacompany
162,MDI,2024-06-13T16:10:42+02:00,R12.39,12.00,0.39,3.25%,clickacompany
163,MFL,2024-06-13T17:00:13+02:00,R2.55,2.55,,,clickacompany
164,MMP,2024-06-13T17:05:37+02:00,R29.15,29.15,,,clickacompany
165,MNP,2024-06-13T17:00:34+02:00,R343.81,348.42,-4.61,-1.32%,clickacompany
166,MTM,2024-06-13T17:00:41+02:00,R22.10,21.78,0.32,1.47%,clickacompany
167,MKR,2024-06-13T17:00:56+02:00,R94.65,109.00,-14.35,-13.17%,clickacompany
168,MTH,2024-06-13T17:00:32+02:00,R85.57,86.32,-0.75,-0.87%,clickacompany
169,MPT,2024-06-13T15:50:39+02:00,R25.02,25.01,0.01,0.04%,clickacompany
170,MRF,2024-06-13T16:10:03+02:00,R1.39,1.32,0.07,5.30%,clickacompany
171,MRP,2024-06-13T17:05:36+02:00,R182.67,184.21,-1.54,-0.84%,clickacompany
172,MSP,2024-06-13T17:02:23+02:00,R16.94,17.31,-0.37,-2.14%,clickacompany
173,MST,2024-06-13T16:33:55+02:00,R9.20,9.20,,,clickacompany
174,MTA,2024-06-13T17:00:58+02:00,R11.13,10.94,0.19,1.74%,clickacompany
175,MTNZF,2024-06-13T17:00:26+02:00,R14.15,14.15,,,clickacompany
176,MTN,2024-06-13T17:05:50+02:00,R78.12,81.10,-2.98,-3.67%,clickacompany
177,MCG,2024-06-13T17:04:23+02:00,R106.84,109.20,-2.36,-2.16%,clickacompany
178,MUR,2024-06-13T17:00:13+02:00,R2.05,2.06,-0.01,-0.49%,clickacompany
179,NCS,2024-06-13T17:05:37+02:00,R0.82,0.82,,,clickacompany
180,NED,2024-06-13T17:00:35+02:00,R236.47,229.00,7.47,3.26%,clickacompany
181,NY1,2024-06-13T17:00:07+02:00,R37.25,38.05,-0.80,-2.10%,clickacompany
182,N91,2024-06-13T17:10:16+02:00,R37.71,38.82,-1.11,-2.86%,clickacompany
183,NPH,2024-06-13T17:09:04+02:00,R107.99,110.89,-2.90,-2.62%,clickacompany
184,NPK,2024-06-13T17:00:02+02:00,R182.00,180.00,2.00,1.11%,clickacompany
185,NPKP,2024-06-13T17:05:37+02:00,R0.70,0.70,,,clickacompany
186,NPN,2024-06-13T17:09:25+02:00,"R3,847.15","3,903.28",-56.13,-1.44%,clickacompany
187,NPP1,2024-06-13T17:05:37+02:00,R1.31,1.31,,,clickacompany
188,NRL,2024-06-13T17:05:37+02:00,R4.80,4.80,,,clickacompany
189,NRP,2024-06-13T17:00:23+02:00,R133.63,134.21,-0.58,-0.43%,clickacompany
190,NTC,2024-06-13T17:04:41+02:00,R11.90,12.07,-0.17,-1.41%,clickacompany
191,NTCP,2024-06-13T17:05:37+02:00,R75.02,75.02,,,clickacompany
192,XII,2024-06-13T17:05:37+02:00,R0.01,0.01,,,clickacompany
193,NVS,2024-06-13T16:15:42+02:00,R5.89,5.61,0.28,4.99%,clickacompany
194,NWL,2024-06-13T17:05:37+02:00,R27.60,27.60,,,clickacompany
195,OAO,2024-06-13T17:05:37+02:00,R0.09,0.09,,,clickacompany
196,OAS,2024-06-13T16:15:40+02:00,R19.50,19.50,,,clickacompany
197,OCE,2024-06-13T17:00:41+02:00,R75.25,75.40,-0.15,-0.20%,clickacompany
198,OCT,2024-06-13T16:08:35+02:00,R9.25,9.15,0.10,1.09%,clickacompany
199,OMU,2024-06-13T17:08:29+02:00,R10.52,10.38,0.14,1.35%,clickacompany
200,OMN,2024-06-13T17:00:03+02:00,R58.00,58.74,-0.74,-1.26%,clickacompany
201,ORN,2024-06-13T15:54:49+02:00,R0.22,0.21,0.01,4.76%,clickacompany
202,OUT,2024-06-13T17:05:51+02:00,R41.93,41.61,0.32,0.77%,clickacompany
203,PAN,2024-06-13T17:00:25+02:00,R5.90,5.86,0.04,0.68%,clickacompany
204,PBG,2024-06-13T11:16:51+02:00,R6.41,6.63,-0.22,-3.32%,clickacompany
205,PPH,2024-06-13T17:08:34+02:00,R18.21,17.62,0.59,3.35%,clickacompany
206,PIK,2024-06-13T17:00:15+02:00,R24.77,24.61,0.16,0.65%,clickacompany
207,PMV,2024-06-13T17:05:37+02:00,R1.40,1.40,,,clickacompany
208,PWR,2024-06-13T17:05:37+02:00,R85.00,85.00,,,clickacompany
209,PPC,2024-06-13T17:00:14+02:00,R3.14,3.07,0.07,2.28%,clickacompany
210,PPE,2024-06-13T16:21:26+02:00,R0.78,0.75,0.03,4.00%,clickacompany
211,PPR,2024-06-13T10:10:51+02:00,R3.20,3.20,,,clickacompany
212,PMR,2024-06-13T17:00:28+02:00,R64.99,65.00,-0.01,-0.02%,clickacompany
213,PHP,2024-06-13T17:00:57+02:00,R21.70,21.70,,,clickacompany
214,PRX,2024-06-13T17:10:00+02:00,R683.00,693.17,-10.17,-1.47%,clickacompany
215,PSV,2024-06-13T17:05:37+02:00,R0.08,0.08,,,clickacompany
216,QFH,2024-06-13T10:04:34+02:00,R17.50,16.16,1.34,8.29%,clickacompany
217,QLT,2024-06-13T17:04:20+02:00,R27.56,27.98,-0.42,-1.50%,clickacompany
218,RACP,2024-06-13T17:05:37+02:00,R7.70,7.70,,,clickacompany
219,RBX,2024-06-13T17:00:38+02:00,R36.00,35.55,0.45,1.27%,clickacompany
220,RCL,2024-06-13T17:00:44+02:00,R11.20,11.05,0.15,1.36%,clickacompany
221,RDF,2024-06-13T17:02:35+02:00,R3.74,3.84,-0.10,-2.60%,clickacompany
222,REA,2024-06-13T17:05:37+02:00,R0.96,0.96,,,clickacompany
223,REB,2024-06-13T17:05:37+02:00,R0.16,0.16,,,clickacompany
224,RNI,2024-06-13T17:00:03+02:00,R467.57,477.21,-9.64,-2.02%,clickacompany
225,REM,2024-06-13T17:06:50+02:00,R128.85,130.00,-1.15,-0.88%,clickacompany
226,REN,2024-06-13T17:00:17+02:00,R10.10,10.30,-0.20,-1.94%,clickacompany
227,RES,2024-06-13T17:00:23+02:00,R44.07,44.51,-0.44,-0.99%,clickacompany
228,RFG,2024-06-13T16:31:42+02:00,R13.93,13.97,-0.04,-0.29%,clickacompany
229,RHB,2024-06-13T12:54:03+02:00,R2.50,2.75,-0.25,-9.09%,clickacompany
230,RLO,2024-06-13T17:00:23+02:00,R66.17,66.79,-0.62,-0.93%,clickacompany
231,RMH,2024-06-13T17:04:03+02:00,R0.40,0.40,,,clickacompany
232,RNG,2024-06-13T17:05:37+02:00,R0.60,0.60,,,clickacompany
233,RTN,2024-06-13T17:05:37+02:00,R11.48,11.48,,,clickacompany
234,RTOP,2024-06-13T17:05:37+02:00,R1.11,1.11,,,clickacompany
235,RTO,2024-06-13T17:05:37+02:00,R11.50,11.50,,,clickacompany
236,S32,2024-06-13T17:00:07+02:00,R44.86,45.59,-0.73,-1.60%,clickacompany
237,SZK,2024-06-13T17:00:39+02:00,R37.00,38.00,-1.00,-2.63%,clickacompany
238,SXM,2024-06-13T17:05:37+02:00,R1.00,1.00,,,clickacompany
239,SBP,2024-06-13T10:40:26+02:00,R65.61,66.60,-0.99,-1.49%,clickacompany
240,SAC,2024-06-13T17:04:19+02:00,R2.40,2.45,-0.05,-2.04%,clickacompany
241,SLG,2024-06-13T17:05:37+02:00,R0.50,0.50,,,clickacompany
242,SAP,2024-06-13T17:00:06+02:00,R49.00,49.15,-0.15,-0.31%,clickacompany
243,SAR,2024-06-13T13:46:50+02:00,R5.59,5.25,0.34,6.48%,clickacompany
244,SBKP,2024-06-13T17:05:37+02:00,R0.66,0.66,,,clickacompany
245,SBK,2024-06-13T17:10:04+02:00,R188.83,184.74,4.09,2.21%,clickacompany
246,SBPP,2024-06-13T17:00:36+02:00,R84.10,84.87,-0.77,-0.91%,clickacompany
247,SCD,2024-06-13T17:05:37+02:00,R14.69,14.69,,,clickacompany
248,SEA,2024-06-13T17:00:56+02:00,R8.45,8.38,0.07,0.84%,clickacompany
249,SEB,2024-06-13T12:49:22+02:00,R1.36,1.47,-0.11,-7.48%,clickacompany
250,SEP,2024-06-13T17:00:16+02:00,R1.08,1.10,-0.02,-1.82%,clickacompany
251,SFN,2024-06-13T17:05:37+02:00,R17.50,17.50,,,clickacompany
252,SHC,2024-06-13T17:00:05+02:00,R32.89,33.01,-0.12,-0.36%,clickacompany
253,SHG,2024-06-13T17:00:23+02:00,R8.01,7.78,0.23,2.96%,clickacompany
254,SHP,2024-06-13T17:08:07+02:00,R253.19,249.76,3.43,1.37%,clickacompany
255,SSW,2024-06-13T17:07:07+02:00,R19.93,20.78,-0.85,-4.09%,clickacompany
256,SLM,2024-06-13T17:02:30+02:00,R73.69,71.65,2.04,2.85%,clickacompany
257,SNT,2024-06-13T17:00:13+02:00,R292.00,294.57,-2.57,-0.87%,clickacompany
258,SNV,2024-06-13T16:15:44+02:00,R7.96,7.81,0.15,1.92%,clickacompany
259,SOH,2024-06-13T17:05:37+02:00,R1.59,1.59,,,clickacompany
260,SOLBE1,2024-06-13T17:05:37+02:00,R119.00,119.00,,,clickacompany
261,SOL,2024-06-13T17:08:39+02:00,R117.64,120.15,-2.51,-2.09%,clickacompany
262,SDL,2024-06-13T17:05:37+02:00,R3.75,3.75,,,clickacompany
263,SSU,2024-06-13T17:00:53+02:00,R5.24,5.27,-0.03,-0.57%,clickacompany
264,SPG,2024-06-13T17:00:52+02:00,R27.50,27.69,-0.19,-0.69%,clickacompany
265,SPP,2024-06-13T17:02:36+02:00,R114.93,110.65,4.28,3.87%,clickacompany
266,SRE,2024-06-13T17:00:11+02:00,R23.19,23.35,-0.16,-0.69%,clickacompany
267,SSK,2024-06-13T14:57:14+02:00,R1.15,1.25,-0.10,-8.00%,clickacompany
268,SSS,2024-06-13T17:00:50+02:00,R13.20,13.45,-0.25,-1.86%,clickacompany
269,SDO,2024-06-13T17:00:06+02:00,R4.65,4.70,-0.05,-1.06%,clickacompany
270,SUI,2024-06-13T17:00:34+02:00,R36.02,36.19,-0.17,-0.47%,clickacompany
271,SUR,2024-06-13T16:15:39+02:00,R29.98,29.00,0.98,3.38%,clickacompany
272,SYG,2024-06-13T10:20:19+02:00,R20.87,20.87,,,clickacompany
273,TBS,2024-06-13T17:00:05+02:00,R198.27,195.37,2.90,1.48%,clickacompany
274,TCP,2024-06-13T17:00:19+02:00,R2.68,2.68,,,clickacompany
275,TEX,2024-06-13T17:05:37+02:00,R3.20,3.20,,,clickacompany
276,TFGP,2024-06-13T17:05:37+02:00,R1.01,1.01,,,clickacompany
277,TFG,2024-06-13T17:08:43+02:00,R113.50,110.85,2.65,2.39%,clickacompany
278,THA,2024-06-13T17:00:17+02:00,R18.60,18.70,-0.10,-0.53%,clickacompany
279,TGA,2024-06-13T17:02:54+02:00,R120.50,122.61,-2.11,-1.72%,clickacompany
280,TKG,2024-06-13T17:03:17+02:00,R23.60,24.99,-1.39,-5.56%,clickacompany
281,TLM,2024-06-13T17:05:37+02:00,R1.20,1.20,,,clickacompany
282,TMT,2024-06-13T17:05:37+02:00,R2.09,2.09,,,clickacompany
283,TON,2024-06-13T17:05:37+02:00,R4.04,4.04,,,clickacompany
284,TPC,2024-06-13T17:05:37+02:00,R31.77,31.77,,,clickacompany
285,TRE,2024-06-13T17:00:09+02:00,R7.29,7.22,0.07,0.97%,clickacompany
286,TRL,2024-06-13T15:30:46+02:00,R1.60,1.60,,,clickacompany
287,TRU,2024-06-13T17:00:59+02:00,R82.52,79.71,2.81,3.53%,clickacompany
288,TSG,2024-06-13T17:00:04+02:00,R10.74,10.78,-0.04,-0.37%,clickacompany
289,TTO,2024-06-13T12:15:04+02:00,R0.26,0.40,-0.14,-35.00%,clickacompany
290,UPL,2024-06-13T17:05:37+02:00,R22.00,22.00,,,clickacompany
291,VIS,2024-06-13T17:05:37+02:00,R0.02,0.02,,,clickacompany
292,VKE,2024-06-13T17:03:11+02:00,R14.86,15.11,-0.25,-1.65%,clickacompany
293,VOD,2024-06-13T17:08:54+02:00,R90.44,90.07,0.37,0.41%,clickacompany
294,VUN,2024-06-13T17:05:37+02:00,R1.95,1.95,,,clickacompany
295,WBO,2024-06-13T17:00:54+02:00,R156.00,154.03,1.97,1.28%,clickacompany
296,WBC,2024-06-13T17:00:14+02:00,R25.30,25.78,-0.48,-1.86%,clickacompany
297,WEZ,2024-06-13T17:00:59+02:00,R0.50,0.51,-0.01,-1.96%,clickacompany
298,WHL,2024-06-13T17:00:23+02:00,R54.75,54.28,0.47,0.87%,clickacompany
299,WKF,2024-06-13T17:05:37+02:00,R1.40,1.40,,,clickacompany
300,YRK,2024-06-13T13:16:23+02:00,R1.69,1.65,0.04,2.42%,clickacompany
301,YYLBEE,2024-06-13T16:28:35+02:00,R21.00,21.00,,,clickacompany
302,ZZD,2024-06-13T17:00:18+02:00,R11.64,11.59,0.05,0.43%,clickacompany
303,ZED,2024-06-13T17:00:35+02:00,R1.74,1.79,-0.05,-2.79%,clickacompany
