,id,dt,i,c,m,p,t
0,4SI,2024-06-13T17:05:37+02:00,R0.75,0.75,,,clickacompany
1,ABG,2024-06-13T17:08:24+02:00,R157.10,155.78,1.32,0.85%,clickacompany
2,ABSP,2024-06-13T17:00:03+02:00,R731.00,732.00,-1.00,-0.14%,clickacompany
3,ACL,2024-06-13T16:39:07+02:00,R1.04,1.01,0.03,2.97%,clickacompany
4,ACS,2024-06-13T17:05:37+02:00,R7.86,7.86,,,clickacompany
5,ACT,2024-06-13T17:05:37+02:00,R2.80,2.80,,,clickacompany
6,ADH,2024-06-13T17:02:05+02:00,R27.12,26.97,0.15,0.56%,clickacompany
7,ADR,2024-06-13T15:05:16+02:00,R3.80,3.70,0.10,2.70%,clickacompany
8,ADW,2024-06-13T17:05:37+02:00,R0.11,0.11,,,clickacompany
9,AEG,2024-06-13T17:00:27+02:00,R6.80,6.73,0.07,1.04%,clickacompany
10,AEL,2024-06-13T17:00:55+02:00,R13.00,13.02,-0.02,-0.15%,clickacompany
11,AFE,2024-06-13T17:00:07+02:00,R95.64,95.50,0.14,0.15%,clickacompany
12,AFEP,2024-06-13T17:05:37+02:00,R14.50,14.50,,,clickacompany
13,AFH,2024-06-13T17:00:30+02:00,R6.91,7.37,-0.46,-6.24%,clickacompany
14,ANI,2024-06-13T17:05:37+02:00,R4.50,4.50,,,clickacompany
15,AIL,2024-06-13T16:44:56+02:00,R5.90,5.86,0.04,0.68%,clickacompany
16,ATI,2024-06-13T17:05:37+02:00,R0.12,0.12,,,clickacompany
17,AFT,2024-06-13T17:00:03+02:00,R66.45,66.81,-0.36,-0.54%,clickacompany
18,AGL,2024-06-13T17:00:14+02:00,R562.50,561.56,0.94,0.17%,clickacompany
19,AHL,2024-06-13T17:05:37+02:00,R0.02,0.02,,,clickacompany
20,AIP,2024-06-13T17:00:40+02:00,R55.00,55.70,-0.70,-1.26%,clickacompany
21,APH,2024-06-13T17:05:37+02:00,R15.00,15.00,,,clickacompany
22,AME,2024-06-13T14:14:07+02:00,R46.25,42.03,4.22,10.04%,clickacompany
23,AMS,2024-06-13T17:00:30+02:00,R587.25,580.53,6.72,1.16%,clickacompany
24,ANG,2024-06-13T17:07:03+02:00,R418.32,427.80,-9.48,-2.22%,clickacompany
25,ANH,2024-06-13T17:02:16+02:00,"R1,111.25","1,147.50",-36.25,-3.16%,clickacompany
26,AON,2024-06-13T17:05:37+02:00,R14.99,14.99,,,clickacompany
27,AOO,2024-06-13T17:05:37+02:00,R16.25,16.25,,,clickacompany
28,AOVP,2024-06-13T17:05:37+02:00,R10.03,10.03,,,clickacompany
29,APF,2024-06-13T17:00:49+02:00,R0.47,0.46,0.01,2.17%,clickacompany
30,APN,2024-06-13T17:09:34+02:00,R225.00,228.71,-3.71,-1.62%,clickacompany
31,ARA,2024-06-13T17:00:53+02:00,R7.10,7.10,,,clickacompany
32,APO,2024-06-13T17:05:37+02:00,R2.99,2.99,,,clickacompany
33,ARI,2024-06-13T17:00:17+02:00,R211.64,216.49,-4.85,-2.24%,clickacompany
34,ARL,2024-06-13T17:00:09+02:00,R145.91,144.18,1.73,1.20%,clickacompany
35,ART,2024-06-13T16:15:35+02:00,R21.49,21.20,0.29,1.37%,clickacompany
36,ASC,2024-06-13T16:47:59+02:00,R0.80,0.78,0.02,2.56%,clickacompany
37,ATT,2024-06-13T17:00:59+02:00,R10.39,10.23,0.16,1.56%,clickacompany
38,AVI,2024-06-13T17:00:57+02:00,R86.00,86.00,,,clickacompany
39,AYO,2024-06-13T13:44:59+02:00,R0.64,0.48,0.16,33.33%,clickacompany
40,BAT,2024-06-13T16:48:53+02:00,R0.88,0.92,-0.04,-4.35%,clickacompany
41,BAW,2024-06-13T17:00:24+02:00,R88.41,88.50,-0.09,-0.10%,clickacompany
42,BAWP,2024-06-13T17:05:37+02:00,R0.81,0.81,,,clickacompany
43,BCF,2024-06-13T17:05:37+02:00,R10.81,10.81,,,clickacompany
44,BEL,2024-06-13T16:15:38+02:00,R26.55,26.00,0.55,2.12%,clickacompany
45,BHG,2024-06-13T17:07:20+02:00,R522.50,531.19,-8.69,-1.64%,clickacompany
46,BID,2024-06-13T17:09:15+02:00,R410.36,421.64,-11.28,-2.68%,clickacompany
47,BIK,2024-06-13T12:22:55+02:00,R0.13,0.17,-0.04,-23.53%,clickacompany
48,BLU,2024-06-13T17:00:03+02:00,R4.12,4.23,-0.11,-2.60%,clickacompany
49,BIHLEB,2024-06-13T16:34:38+02:00,R780.00,782.10,-2.10,-0.27%,clickacompany
50,BRN,2024-06-13T17:05:37+02:00,R4.95,4.95,,,clickacompany
51,BRT,2024-06-13T09:15:56+02:00,R5.00,5.00,,,clickacompany
52,BSR,2024-06-13T17:05:37+02:00,R0.04,0.04,,,clickacompany
53,BTI,2024-06-13T17:00:50+02:00,R559.13,565.78,-6.65,-1.18%,clickacompany
54,BKI,2024-06-13T17:05:37+02:00,R0.73,0.73,,,clickacompany
55,BTN,2024-06-13T17:00:38+02:00,R6.94,6.90,0.04,0.58%,clickacompany
56,BVT,2024-06-13T17:07:32+02:00,R246.15,248.17,-2.02,-0.81%,clickacompany
57,BWN,2024-06-13T17:00:40+02:00,R1.76,1.95,-0.19,-9.74%,clickacompany
58,BYI,2024-06-13T17:00:51+02:00,R126.31,131.14,-4.83,-3.68%,clickacompany
59,CAA,2024-06-13T17:00:32+02:00,R11.95,12.18,-0.23,-1.89%,clickacompany
60,CAC,2024-06-13T17:05:37+02:00,R3.60,3.60,,,clickacompany
61,CTA,2024-06-13T17:00:40+02:00,R1.20,1.21,-0.01,-0.83%,clickacompany
62,CVW,2024-06-13T17:05:37+02:00,R8.50,8.50,,,clickacompany
63,CAT,2024-06-13T17:00:42+02:00,R10.01,10.16,-0.15,-1.48%,clickacompany
64,CATP,2024-06-13T17:05:37+02:00,R95.15,95.15,,,clickacompany
65,CFR,2024-06-13T17:00:02+02:00,"R3,021.27","3,065.62",-44.35,-1.45%,clickacompany
66,CGR,2024-06-13T17:00:11+02:00,R5.62,5.80,-0.18,-3.10%,clickacompany
67,CHP,2024-06-13T17:00:08+02:00,R0.61,0.55,0.06,10.91%,clickacompany
68,CKS,2024-06-13T11:04:38+02:00,R30.00,30.00,,,clickacompany
69,CLH,2024-06-13T17:00:48+02:00,R4.06,4.07,-0.01,-0.25%,clickacompany
70,CLI,2024-06-13T17:00:07+02:00,R10.24,10.23,0.01,0.10%,clickacompany
71,CLS,2024-06-13T17:00:13+02:00,R301.81,303.14,-1.33,-0.44%,clickacompany
72,CMH,2024-06-13T17:00:56+02:00,R26.25,26.28,-0.03,-0.11%,clickacompany
73,CML,2024-06-13T17:00:46+02:00,R32.50,32.56,-0.06,-0.18%,clickacompany
74,CMO,2024-06-13T17:05:37+02:00,R0.06,0.06,,,clickacompany
75,CND,2024-06-13T17:05:37+02:00,R0.04,0.04,,,clickacompany
76,COH,2024-06-13T17:00:27+02:00,R10.25,10.34,-0.09,-0.87%,clickacompany
77,CPP,2024-06-13T17:05:37+02:00,R9.00,9.00,,,clickacompany
78,CPR,2024-06-13T17:00:41+02:00,R4.34,4.20,0.14,3.33%,clickacompany
79,CPI,2024-06-13T17:00:06+02:00,"R2,252.34","2,219.73",32.61,1.47%,clickacompany
80,CPIP,2024-06-13T17:05:37+02:00,R100.00,100.00,,,clickacompany
81,CRP,2024-06-13T17:00:17+02:00,R14.00,13.91,0.09,0.65%,clickacompany
82,CSB,2024-06-13T17:00:06+02:00,R144.50,144.25,0.25,0.17%,clickacompany
