,id,dt,i,c,m,p,t
0,4SI,2024-06-10T14:26:28+02:00,R0.72,0.73,-0.01,-1.37%,clickacompany
1,ABG,2024-06-10T17:00:17+02:00,R149.96,150.01,-0.05,-0.03%,clickacompany
2,ABSP,2024-06-10T17:00:51+02:00,R738.80,738.99,-0.19,-0.03%,clickacompany
3,ACL,2024-06-10T17:00:55+02:00,R1.07,1.09,-0.02,-1.83%,clickacompany
4,ACS,2024-06-10T17:00:59+02:00,R7.78,7.78,,,clickacompany
5,ACT,2024-06-10T14:12:32+02:00,R2.74,2.55,0.19,7.45%,clickacompany
6,ADH,2024-06-10T17:00:23+02:00,R26.79,26.75,0.04,0.15%,clickacompany
7,ADR,2024-06-10T16:11:13+02:00,R3.70,3.60,0.10,2.78%,clickacompany
8,ADW,2024-06-10T17:00:14+02:00,R0.11,0.12,-0.01,-8.33%,clickacompany
9,AEG,2024-06-10T17:00:29+02:00,R6.15,6.15,,,clickacompany
10,AEL,2024-06-10T17:00:03+02:00,R12.50,12.92,-0.42,-3.25%,clickacompany
11,AFE,2024-06-10T17:00:18+02:00,R94.95,94.55,0.40,0.42%,clickacompany
12,AFEP,2024-06-10T17:00:59+02:00,R15.00,15.00,,,clickacompany
13,AFH,2024-06-10T17:04:26+02:00,R7.01,6.69,0.32,4.78%,clickacompany
14,ANI,2024-06-10T17:00:59+02:00,R4.00,4.00,,,clickacompany
15,AIL,2024-06-10T16:48:43+02:00,R5.80,5.70,0.10,1.75%,clickacompany
16,ATI,2024-06-10T17:00:59+02:00,R0.12,0.12,,,clickacompany
17,AFT,2024-06-10T17:02:26+02:00,R67.39,68.00,-0.61,-0.90%,clickacompany
18,AGL,2024-06-10T17:05:39+02:00,R563.25,572.52,-9.27,-1.62%,clickacompany
19,AHL,2024-06-10T17:00:59+02:00,R0.02,0.02,,,clickacompany
20,AIP,2024-06-10T17:00:04+02:00,R54.75,55.17,-0.42,-0.76%,clickacompany
21,APH,2024-06-10T11:13:11+02:00,R14.03,15.46,-1.43,-9.25%,clickacompany
22,AME,2024-06-10T17:00:40+02:00,R40.01,47.47,-7.46,-15.72%,clickacompany
23,AMS,2024-06-10T17:02:25+02:00,R573.74,577.33,-3.59,-0.62%,clickacompany
24,ANG,2024-06-10T17:09:25+02:00,R418.95,432.20,-13.25,-3.07%,clickacompany
25,ANH,2024-06-10T17:02:54+02:00,"R1,152.78","1,184.96",-32.18,-2.72%,clickacompany
26,AON,2024-06-10T17:00:59+02:00,R14.99,14.99,,,clickacompany
27,AOO,2024-06-10T17:00:59+02:00,R16.25,16.25,,,clickacompany
28,AOVP,2024-06-10T17:00:59+02:00,R10.03,10.03,,,clickacompany
29,APF,2024-06-10T17:00:35+02:00,R0.47,0.46,0.01,2.17%,clickacompany
30,APN,2024-06-10T17:03:18+02:00,R229.36,233.37,-4.01,-1.72%,clickacompany
31,ARA,2024-06-10T10:00:28+02:00,R7.05,7.05,,,clickacompany
32,APO,2024-06-10T17:00:59+02:00,R2.99,2.99,,,clickacompany
33,ARI,2024-06-10T17:00:06+02:00,R216.62,218.17,-1.55,-0.71%,clickacompany
34,ARL,2024-06-10T17:00:20+02:00,R143.00,145.19,-2.19,-1.51%,clickacompany
35,ART,2024-06-10T16:48:46+02:00,R20.53,20.90,-0.37,-1.77%,clickacompany
36,ASC,2024-06-10T16:11:55+02:00,R0.82,0.79,0.03,3.80%,clickacompany
37,ATT,2024-06-10T17:00:49+02:00,R10.02,10.16,-0.14,-1.38%,clickacompany
38,AVI,2024-06-10T17:00:52+02:00,R84.53,86.64,-2.11,-2.44%,clickacompany
39,AYO,2024-06-10T17:00:59+02:00,R0.48,0.48,,,clickacompany
40,BAT,2024-06-10T16:49:45+02:00,R0.94,0.90,0.04,4.44%,clickacompany
41,BAW,2024-06-10T17:00:06+02:00,R89.52,92.03,-2.51,-2.73%,clickacompany
42,BAWP,2024-06-10T17:00:59+02:00,R0.81,0.81,,,clickacompany
43,BCF,2024-06-10T17:00:59+02:00,R10.81,10.81,,,clickacompany
44,BEL,2024-06-10T14:59:49+02:00,R25.99,26.00,-0.01,-0.04%,clickacompany
45,BHG,2024-06-10T17:05:21+02:00,R546.79,554.17,-7.38,-1.33%,clickacompany
46,BID,2024-06-10T17:00:56+02:00,R426.00,426.00,,,clickacompany
47,BIK,2024-06-10T09:52:42+02:00,R0.16,0.13,0.03,23.08%,clickacompany
48,BLU,2024-06-10T17:00:51+02:00,R4.30,4.25,0.05,1.18%,clickacompany
49,BIHLEB,2024-06-10T15:51:26+02:00,R783.00,783.00,,,clickacompany
50,BRN,2024-06-10T17:00:59+02:00,R4.95,4.95,,,clickacompany
51,BRT,2024-06-10T09:59:14+02:00,R4.60,4.60,,,clickacompany
52,BSR,2024-06-10T17:00:59+02:00,R0.04,0.04,,,clickacompany
53,BTI,2024-06-10T17:07:54+02:00,R572.34,587.66,-15.32,-2.61%,clickacompany
54,BKI,2024-06-10T17:00:59+02:00,R0.73,0.73,,,clickacompany
55,BTN,2024-06-10T17:00:49+02:00,R7.20,7.22,-0.02,-0.28%,clickacompany
56,BVT,2024-06-10T17:00:44+02:00,R241.04,244.76,-3.72,-1.52%,clickacompany
57,BWN,2024-06-10T17:00:57+02:00,R1.94,1.89,0.05,2.65%,clickacompany
58,BYI,2024-06-10T17:00:32+02:00,R130.35,131.14,-0.79,-0.60%,clickacompany
59,CAA,2024-06-10T17:00:48+02:00,R11.85,12.00,-0.15,-1.25%,clickacompany
60,CAC,2024-06-10T17:00:59+02:00,R3.10,3.10,,,clickacompany
61,CTA,2024-06-10T16:47:43+02:00,R1.20,1.17,0.03,2.56%,clickacompany
62,CVW,2024-06-10T17:00:59+02:00,R8.50,8.50,,,clickacompany
63,CAT,2024-06-10T14:45:15+02:00,R10.29,10.25,0.04,0.39%,clickacompany
64,CATP,2024-06-10T17:00:59+02:00,R95.15,95.15,,,clickacompany
65,CFR,2024-06-10T17:00:22+02:00,"R3,095.40","3,172.14",-76.74,-2.42%,clickacompany
66,CGN,2024-06-10T17:00:59+02:00,R1.03,1.03,,,clickacompany
67,CGR,2024-06-10T17:00:50+02:00,R5.66,5.95,-0.29,-4.87%,clickacompany
68,CHP,2024-06-10T17:00:59+02:00,R0.57,0.57,,,clickacompany
69,CKS,2024-06-10T17:00:59+02:00,R30.00,30.00,,,clickacompany
70,CLH,2024-06-10T17:06:12+02:00,R4.10,4.14,-0.04,-0.97%,clickacompany
71,CLI,2024-06-10T10:00:00+02:00,R9.85,9.80,0.05,0.51%,clickacompany
72,CLS,2024-06-10T17:00:06+02:00,R297.87,298.71,-0.84,-0.28%,clickacompany
73,CMH,2024-06-10T17:00:34+02:00,R27.90,27.59,0.31,1.12%,clickacompany
74,CML,2024-06-10T17:00:39+02:00,R34.24,34.20,0.04,0.12%,clickacompany
75,CMO,2024-06-10T17:00:59+02:00,R0.06,0.06,,,clickacompany
76,CND,2024-06-10T17:00:59+02:00,R0.04,0.04,,,clickacompany
77,COH,2024-06-10T17:00:49+02:00,R10.46,10.38,0.08,0.77%,clickacompany
78,CPP,2024-06-10T17:00:24+02:00,R9.00,8.75,0.25,2.86%,clickacompany
79,CPR,2024-06-10T16:48:19+02:00,R4.25,4.40,-0.15,-3.41%,clickacompany
80,CPI,2024-06-10T17:00:21+02:00,"R2,158.60","2,185.01",-26.41,-1.21%,clickacompany
81,CPIP,2024-06-10T17:00:59+02:00,R100.00,100.00,,,clickacompany
82,CRP,2024-06-10T17:00:59+02:00,R14.42,14.42,,,clickacompany
