,id,dt,i,c,m,p,t
0,4SI,2024-06-20T17:05:44+02:00,R0.73,0.73,,,clickacompany
1,ABG,2024-06-20T17:00:47+02:00,R173.26,183.40,-10.14,-5.53%,clickacompany
2,ABSP,2024-06-20T17:00:03+02:00,R745.00,740.00,5.00,0.68%,clickacompany
3,ACL,2024-06-20T16:48:07+02:00,R1.20,1.21,-0.01,-0.83%,clickacompany
4,ACS,2024-06-20T17:05:44+02:00,R7.86,7.86,,,clickacompany
5,ACT,2024-06-20T17:05:44+02:00,R2.85,2.85,,,clickacompany
6,ADH,2024-06-20T17:00:26+02:00,R28.33,28.81,-0.48,-1.67%,clickacompany
7,ADR,2024-06-20T12:18:49+02:00,R3.98,4.24,-0.26,-6.13%,clickacompany
8,ADW,2024-06-20T17:05:44+02:00,R0.11,0.11,,,clickacompany
9,AEG,2024-06-20T12:15:13+02:00,R7.00,7.05,-0.05,-0.71%,clickacompany
10,AEL,2024-06-20T17:00:10+02:00,R14.15,13.39,0.76,5.68%,clickacompany
11,AFE,2024-06-20T17:00:10+02:00,R102.00,102.00,,,clickacompany
12,AFEP,2024-06-20T17:05:44+02:00,R14.50,14.50,,,clickacompany
13,AFH,2024-06-20T17:00:20+02:00,R7.49,7.60,-0.11,-1.45%,clickacompany
14,ANI,2024-06-20T17:05:44+02:00,R4.50,4.50,,,clickacompany
15,AIL,2024-06-20T17:00:51+02:00,R6.10,6.15,-0.05,-0.81%,clickacompany
16,ATI,2024-06-20T17:05:44+02:00,R0.12,0.12,,,clickacompany
17,AFT,2024-06-20T17:00:12+02:00,R72.02,71.47,0.55,0.77%,clickacompany
18,AGL,2024-06-20T17:00:37+02:00,R568.66,556.00,12.66,2.28%,clickacompany
19,AHL,2024-06-20T17:05:44+02:00,R0.10,0.10,,,clickacompany
20,AIP,2024-06-20T17:00:38+02:00,R62.85,63.41,-0.56,-0.88%,clickacompany
21,APH,2024-06-20T14:00:20+02:00,R14.50,14.70,-0.20,-1.36%,clickacompany
22,AME,2024-06-20T17:05:44+02:00,R42.02,42.02,,,clickacompany
23,AMS,2024-06-20T17:00:12+02:00,R620.68,600.23,20.45,3.41%,clickacompany
24,ANG,2024-06-20T17:00:59+02:00,R427.73,428.07,-0.34,-0.08%,clickacompany
25,ANH,2024-06-20T17:00:28+02:00,"R1,074.15","1,070.99",3.16,0.30%,clickacompany
