,id,dt,i,c,m,p,t
0,4SI,2024-06-04T16:48:35+02:00,R0.78,0.79,-0.01,-1.27%,clickacompany
1,ABG,2024-06-04T17:04:03+02:00,R153.63,154.95,-1.32,-0.85%,clickacompany
2,ABSP,2024-06-04T16:47:23+02:00,R742.00,737.00,5.00,0.68%,clickacompany
3,ACL,2024-06-04T17:00:31+02:00,R1.09,1.10,-0.01,-0.91%,clickacompany
4,ACS,2024-06-04T17:06:17+02:00,R7.78,7.78,,,clickacompany
5,ACT,2024-06-04T16:22:54+02:00,R2.65,2.62,0.03,1.15%,clickacompany
6,ADH,2024-06-04T17:00:53+02:00,R26.19,26.00,0.19,0.73%,clickacompany
7,ADR,2024-06-04T16:22:54+02:00,R3.97,3.66,0.31,8.47%,clickacompany
8,ADW,2024-06-04T17:00:55+02:00,R0.13,0.07,0.06,85.71%,clickacompany
9,AEG,2024-06-04T17:00:53+02:00,R6.00,6.07,-0.07,-1.15%,clickacompany
10,AEL,2024-06-04T17:00:42+02:00,R12.65,13.00,-0.35,-2.69%,clickacompany
11,AFE,2024-06-04T17:02:20+02:00,R96.04,95.61,0.43,0.45%,clickacompany
12,AFEP,2024-06-04T17:06:17+02:00,R15.00,15.00,,,clickacompany
13,AFH,2024-06-04T17:00:02+02:00,R6.46,6.56,-0.10,-1.52%,clickacompany
14,ANI,2024-06-04T15:45:29+02:00,R4.00,4.95,-0.95,-19.19%,clickacompany
15,AIL,2024-06-04T17:00:01+02:00,R5.60,5.65,-0.05,-0.88%,clickacompany
16,ATI,2024-06-04T17:06:17+02:00,R0.12,0.12,,,clickacompany
17,AFT,2024-06-04T17:03:50+02:00,R69.00,70.95,-1.95,-2.75%,clickacompany
18,AGL,2024-06-04T17:10:00+02:00,R572.75,588.77,-16.02,-2.72%,clickacompany
19,AHL,2024-06-04T17:06:17+02:00,R0.02,0.02,,,clickacompany
20,AIP,2024-06-04T17:06:21+02:00,R55.81,56.50,-0.69,-1.22%,clickacompany
21,APH,2024-06-04T16:22:54+02:00,R15.46,15.30,0.16,1.05%,clickacompany
22,AME,2024-06-04T16:48:35+02:00,R47.47,44.00,3.47,7.89%,clickacompany
23,AMS,2024-06-04T17:06:53+02:00,R580.55,604.64,-24.09,-3.98%,clickacompany
24,ANG,2024-06-04T17:10:30+02:00,R431.31,447.90,-16.59,-3.70%,clickacompany
25,ANH,2024-06-04T17:00:42+02:00,"R1,154.00","1,163.14",-9.14,-0.79%,clickacompany
26,AON,2024-06-04T17:06:17+02:00,R14.99,14.99,,,clickacompany
27,AOO,2024-06-04T17:06:17+02:00,R16.25,16.25,,,clickacompany
28,AOVP,2024-06-04T17:06:17+02:00,R10.03,10.03,,,clickacompany
29,APF,2024-06-04T17:00:46+02:00,R0.47,0.50,-0.03,-6.00%,clickacompany
30,APN,2024-06-04T17:00:28+02:00,R234.60,233.11,1.49,0.64%,clickacompany
31,ARA,2024-06-04T16:22:54+02:00,R7.10,7.05,0.05,0.71%,clickacompany
32,APO,2024-06-04T17:06:17+02:00,R2.99,2.99,,,clickacompany
33,ARI,2024-06-04T17:00:10+02:00,R216.69,225.45,-8.76,-3.89%,clickacompany
