,id,dt,i,c,m,p,t
0,4SI,2024-06-24T14:36:40+02:00,R0.76,0.76,,,clickacompany
1,ABG,2024-06-24T17:09:50+02:00,R174.19,172.68,1.51,0.87%,clickacompany
2,ABSP,2024-06-24T13:44:05+02:00,R747.00,747.56,-0.56,-0.07%,clickacompany
3,ACL,2024-06-24T17:00:27+02:00,R1.21,1.24,-0.03,-2.42%,clickacompany
4,ACS,2024-06-24T17:06:08+02:00,R7.86,7.86,,,clickacompany
5,ACT,2024-06-24T17:06:08+02:00,R2.85,2.85,,,clickacompany
6,ADH,2024-06-24T17:00:45+02:00,R28.01,28.44,-0.43,-1.51%,clickacompany
7,ADR,2024-06-24T13:33:09+02:00,R3.77,3.98,-0.21,-5.28%,clickacompany
8,ADW,2024-06-24T17:06:08+02:00,R0.05,0.05,,,clickacompany
9,AEG,2024-06-24T17:00:50+02:00,R6.99,7.10,-0.11,-1.55%,clickacompany
10,AEL,2024-06-24T17:00:10+02:00,R13.90,14.08,-0.18,-1.28%,clickacompany
11,AFE,2024-06-24T17:10:14+02:00,R105.32,104.09,1.23,1.18%,clickacompany
12,AFEP,2024-06-24T17:06:08+02:00,R14.50,14.50,,,clickacompany
13,AFH,2024-06-24T17:00:01+02:00,R7.10,7.16,-0.06,-0.84%,clickacompany
14,ANI,2024-06-24T17:06:08+02:00,R4.50,4.50,,,clickacompany
15,AIL,2024-06-24T17:00:47+02:00,R6.10,6.10,,,clickacompany
16,ATI,2024-06-24T17:06:08+02:00,R0.12,0.12,,,clickacompany
17,AFT,2024-06-24T17:00:08+02:00,R70.09,71.12,-1.03,-1.45%,clickacompany
18,AGL,2024-06-24T17:07:51+02:00,R576.17,557.98,18.19,3.26%,clickacompany
19,AHL,2024-06-24T17:06:08+02:00,R0.10,0.10,,,clickacompany
20,AIP,2024-06-24T17:05:44+02:00,R61.00,63.36,-2.36,-3.72%,clickacompany
21,APH,2024-06-24T16:38:07+02:00,R14.47,13.90,0.57,4.10%,clickacompany
22,AME,2024-06-24T17:06:08+02:00,R42.02,42.02,,,clickacompany
23,AMS,2024-06-24T17:05:57+02:00,R646.12,616.35,29.77,4.83%,clickacompany
24,ANG,2024-06-24T17:02:22+02:00,R438.58,429.55,9.03,2.10%,clickacompany
25,ANH,2024-06-24T17:03:49+02:00,"R1,106.58","1,064.00",42.58,4.00%,clickacompany
26,AON,2024-06-24T17:06:08+02:00,R14.99,14.99,,,clickacompany
27,AOO,2024-06-24T17:06:08+02:00,R16.25,16.25,,,clickacompany
28,AOVP,2024-06-24T17:06:08+02:00,R10.03,10.03,,,clickacompany
29,APF,2024-06-24T17:06:08+02:00,R0.47,0.47,,,clickacompany
30,APN,2024-06-24T17:00:12+02:00,R239.58,244.27,-4.69,-1.92%,clickacompany
31,ARA,2024-06-24T13:36:18+02:00,R7.50,7.50,,,clickacompany
32,APO,2024-06-24T17:06:08+02:00,R2.99,2.99,,,clickacompany
33,ARI,2024-06-24T17:00:42+02:00,R226.40,225.86,0.54,0.24%,clickacompany
34,ARL,2024-06-24T17:00:56+02:00,R161.50,160.00,1.50,0.94%,clickacompany
35,ART,2024-06-24T13:45:13+02:00,R22.44,21.46,0.98,4.57%,clickacompany
36,ASC,2024-06-24T12:15:03+02:00,R0.78,0.78,,,clickacompany
37,ATT,2024-06-24T17:02:37+02:00,R11.29,10.99,0.30,2.73%,clickacompany
38,AVI,2024-06-24T17:00:21+02:00,R94.79,96.24,-1.45,-1.51%,clickacompany
39,AYO,2024-06-24T17:06:08+02:00,R0.90,0.90,,,clickacompany
40,BAT,2024-06-24T17:00:51+02:00,R0.87,0.95,-0.08,-8.42%,clickacompany
41,BAW,2024-06-24T17:00:41+02:00,R89.38,90.12,-0.74,-0.82%,clickacompany
42,BAWP,2024-06-24T17:06:08+02:00,R0.81,0.81,,,clickacompany
43,BCF,2024-06-24T17:06:08+02:00,R11.00,11.00,,,clickacompany
44,BEL,2024-06-24T12:19:49+02:00,R29.00,28.99,0.01,0.03%,clickacompany
45,BHG,2024-06-24T17:07:33+02:00,R516.64,507.20,9.44,1.86%,clickacompany
46,BID,2024-06-24T17:00:50+02:00,R425.53,420.71,4.82,1.15%,clickacompany
47,BIK,2024-06-24T17:06:08+02:00,R0.13,0.13,,,clickacompany
48,BLU,2024-06-24T17:00:37+02:00,R3.91,4.02,-0.11,-2.74%,clickacompany
49,BIHLEB,2024-06-24T17:06:08+02:00,R800.00,800.00,,,clickacompany
50,BRN,2024-06-24T10:29:32+02:00,R4.62,4.62,,,clickacompany
51,BRT,2024-06-24T17:06:08+02:00,R5.00,5.00,,,clickacompany
52,BSR,2024-06-24T17:06:08+02:00,R0.04,0.04,,,clickacompany
53,BTI,2024-06-24T17:09:10+02:00,R585.00,563.75,21.25,3.77%,clickacompany
