,id,dt,i,c,m,p,t
0,4SI,2024-06-07T17:00:08+02:00,R0.73,0.78,-0.05,-6.41%,clickacompany
1,ABG,2024-06-07T17:05:33+02:00,R150.01,148.04,1.97,1.33%,clickacompany
2,ABSP,2024-06-07T15:44:13+02:00,R738.99,739.00,-0.01,,clickacompany
3,ACL,2024-06-07T16:39:45+02:00,R1.09,1.10,-0.01,-0.91%,clickacompany
4,ACS,2024-06-07T17:06:37+02:00,R7.78,7.78,,,clickacompany
5,ACT,2024-06-07T17:06:37+02:00,R2.55,2.55,,,clickacompany
6,ADH,2024-06-07T17:00:32+02:00,R26.75,26.76,-0.01,-0.04%,clickacompany
7,ADR,2024-06-07T14:47:29+02:00,R3.60,3.76,-0.16,-4.26%,clickacompany
8,ADW,2024-06-07T17:06:37+02:00,R0.12,0.12,,,clickacompany
9,AEG,2024-06-07T16:25:07+02:00,R6.15,6.11,0.04,0.65%,clickacompany
10,AEL,2024-06-07T17:00:25+02:00,R12.92,12.92,,,clickacompany
11,AFE,2024-06-07T17:00:28+02:00,R94.55,94.50,0.05,0.05%,clickacompany
12,AFEP,2024-06-07T17:06:37+02:00,R15.00,15.00,,,clickacompany
13,AFH,2024-06-07T17:00:59+02:00,R6.69,6.48,0.21,3.24%,clickacompany
14,ANI,2024-06-07T17:06:37+02:00,R4.00,4.00,,,clickacompany
15,AIL,2024-06-07T17:00:39+02:00,R5.70,5.69,0.01,0.18%,clickacompany
16,ATI,2024-06-07T17:06:37+02:00,R0.12,0.12,,,clickacompany
17,AFT,2024-06-07T17:00:24+02:00,R68.00,68.00,,,clickacompany
18,AGL,2024-06-07T17:00:05+02:00,R572.52,578.60,-6.08,-1.05%,clickacompany
19,AHL,2024-06-07T17:06:37+02:00,R0.02,0.02,,,clickacompany
20,AIP,2024-06-07T17:00:43+02:00,R55.17,53.85,1.32,2.45%,clickacompany
21,APH,2024-06-07T17:06:37+02:00,R15.46,15.46,,,clickacompany
22,AME,2024-06-07T13:21:23+02:00,R47.47,47.47,,,clickacompany
23,AMS,2024-06-07T17:00:24+02:00,R577.33,595.86,-18.53,-3.11%,clickacompany
24,ANG,2024-06-07T17:06:02+02:00,R432.20,449.93,-17.73,-3.94%,clickacompany
25,ANH,2024-06-07T17:00:15+02:00,"R1,184.96","1,202.96",-18.00,-1.50%,clickacompany
26,AON,2024-06-07T17:06:37+02:00,R14.99,14.99,,,clickacompany
27,AOO,2024-06-07T17:06:37+02:00,R16.25,16.25,,,clickacompany
28,AOVP,2024-06-07T17:06:37+02:00,R10.03,10.03,,,clickacompany
29,APF,2024-06-07T17:00:02+02:00,R0.46,0.45,0.01,2.22%,clickacompany
30,APN,2024-06-07T17:00:12+02:00,R233.37,232.53,0.84,0.36%,clickacompany
31,ARA,2024-06-07T16:49:02+02:00,R7.05,8.00,-0.95,-11.88%,clickacompany
32,APO,2024-06-07T17:06:37+02:00,R2.99,2.99,,,clickacompany
33,ARI,2024-06-07T17:00:54+02:00,R218.17,221.71,-3.54,-1.60%,clickacompany
34,ARL,2024-06-07T17:00:42+02:00,R145.19,144.87,0.32,0.22%,clickacompany
35,ART,2024-06-07T16:29:51+02:00,R20.90,20.19,0.71,3.52%,clickacompany
36,ASC,2024-06-07T10:00:13+02:00,R0.79,0.79,,,clickacompany
37,ATT,2024-06-07T17:00:39+02:00,R10.16,10.06,0.10,0.99%,clickacompany
