,id,dt,i,c,m,p,t
71,CLS,2024-06-14T17:00:35+02:00,R309.51,301.81,7.70,2.55%,clickacompany
72,CMH,2024-06-14T17:00:53+02:00,R27.20,26.25,0.95,3.62%,clickacompany
73,CML,2024-06-14T17:02:06+02:00,R33.23,32.50,0.73,2.25%,clickacompany
74,CMO,2024-06-14T17:06:29+02:00,R0.06,0.06,,,clickacompany
75,CND,2024-06-14T17:06:29+02:00,R0.04,0.04,,,clickacompany
76,COH,2024-06-14T17:00:40+02:00,R10.30,10.25,0.05,0.49%,clickacompany
77,CPP,2024-06-14T17:06:29+02:00,R9.00,9.00,,,clickacompany
78,CPR,2024-06-14T17:00:58+02:00,R4.42,4.34,0.08,1.84%,clickacompany
79,CPI,2024-06-14T17:05:42+02:00,"R2,373.10","2,252.34",120.76,5.36%,clickacompany
80,CPIP,2024-06-14T17:06:29+02:00,R100.00,100.00,,,clickacompany
81,CRP,2024-06-14T12:15:55+02:00,R14.20,14.00,0.20,1.43%,clickacompany
82,CSB,2024-06-14T17:00:49+02:00,R148.49,144.50,3.99,2.76%,clickacompany
83,DCP,2024-06-14T17:00:53+02:00,R32.28,32.38,-0.10,-0.31%,clickacompany
84,DKR,2024-06-14T17:06:29+02:00,R156.00,156.00,,,clickacompany
85,DIB,2024-06-14T16:46:10+02:00,R3.80,3.80,,,clickacompany
86,DLT,2024-06-14T17:06:29+02:00,R0.26,0.26,,,clickacompany
87,DNB,2024-06-14T17:06:29+02:00,R2.30,2.30,,,clickacompany
88,DRA,2024-06-14T17:06:29+02:00,R23.01,23.01,,,clickacompany
89,DRD,2024-06-14T17:02:54+02:00,R14.99,15.15,-0.16,-1.06%,clickacompany
90,DSBP,2024-06-14T16:23:39+02:00,R92.50,92.01,0.49,0.53%,clickacompany
91,DSY,2024-06-14T17:08:10+02:00,R125.48,118.58,6.90,5.82%,clickacompany
92,DTC,2024-06-14T17:00:47+02:00,R37.22,37.37,-0.15,-0.40%,clickacompany
93,EEL,2024-06-14T17:06:29+02:00,R0.12,0.12,,,clickacompany
94,ELI,2024-06-14T17:06:29+02:00,R0.01,0.01,,,clickacompany
95,EMH,2024-06-14T17:06:29+02:00,R3.22,3.22,,,clickacompany
96,EMI,2024-06-14T17:00:35+02:00,R10.00,10.00,,,clickacompany
97,EMN,2024-06-14T16:49:56+02:00,R3.27,3.27,,,clickacompany
98,ENX,2024-06-14T17:00:00+02:00,R9.60,9.45,0.15,1.59%,clickacompany
99,EOH,2024-06-14T16:44:14+02:00,R1.56,1.57,-0.01,-0.64%,clickacompany
100,EPE,2024-06-14T17:00:07+02:00,R3.60,3.62,-0.02,-0.55%,clickacompany
