,id,dt,i,c,m,p,t
0,4SI,2024-06-12T15:57:40+02:00,R0.75,0.78,-0.03,-3.85%,clickacompany
1,ABG,2024-06-12T17:07:18+02:00,R155.78,152.75,3.03,1.98%,clickacompany
2,ABSP,2024-06-12T16:34:26+02:00,R732.00,732.00,,,clickacompany
3,ACL,2024-06-12T16:44:07+02:00,R1.04,1.01,0.03,2.97%,clickacompany
4,ACS,2024-06-12T17:06:32+02:00,R7.86,7.86,,,clickacompany
5,ACT,2024-06-12T11:18:06+02:00,R2.80,2.78,0.02,0.72%,clickacompany
6,ADH,2024-06-12T17:00:07+02:00,R26.97,26.87,0.10,0.37%,clickacompany
7,ADR,2024-06-12T14:36:51+02:00,R3.70,3.70,,,clickacompany
8,ADW,2024-06-12T17:06:32+02:00,R0.11,0.11,,,clickacompany
9,AEG,2024-06-12T17:00:49+02:00,R6.73,6.27,0.46,7.34%,clickacompany
10,AEL,2024-06-12T17:00:47+02:00,R13.02,12.80,0.22,1.72%,clickacompany
11,AFE,2024-06-12T17:00:28+02:00,R95.50,95.00,0.50,0.53%,clickacompany
12,AFEP,2024-06-12T16:45:53+02:00,R14.50,15.00,-0.50,-3.33%,clickacompany
13,AFH,2024-06-12T17:00:09+02:00,R7.37,7.36,0.01,0.14%,clickacompany
14,ANI,2024-06-12T14:41:13+02:00,R4.50,4.50,,,clickacompany
15,AIL,2024-06-12T16:44:07+02:00,R5.90,5.90,,,clickacompany
16,ATI,2024-06-12T17:06:32+02:00,R0.12,0.12,,,clickacompany
17,AFT,2024-06-12T17:00:24+02:00,R66.81,66.77,0.04,0.06%,clickacompany
18,AGL,2024-06-12T17:08:19+02:00,R561.56,559.10,2.46,0.44%,clickacompany
19,AHL,2024-06-12T17:06:32+02:00,R0.02,0.02,,,clickacompany
20,AIP,2024-06-12T17:00:00+02:00,R55.70,54.14,1.56,2.88%,clickacompany
21,APH,2024-06-12T17:00:07+02:00,R15.00,14.50,0.50,3.45%,clickacompany
22,AME,2024-06-12T17:06:32+02:00,R42.03,42.03,,,clickacompany
23,AMS,2024-06-12T17:06:52+02:00,R580.53,562.52,18.01,3.20%,clickacompany
24,ANG,2024-06-12T17:06:54+02:00,R427.80,420.61,7.19,1.71%,clickacompany
25,ANH,2024-06-12T17:03:01+02:00,"R1,147.50","1,140.71",6.79,0.60%,clickacompany
26,AON,2024-06-12T17:06:32+02:00,R14.99,14.99,,,clickacompany
27,AOO,2024-06-12T17:06:32+02:00,R16.25,16.25,,,clickacompany
28,AOVP,2024-06-12T17:06:32+02:00,R10.03,10.03,,,clickacompany
29,APF,2024-06-12T17:00:46+02:00,R0.46,0.47,-0.01,-2.13%,clickacompany
30,APN,2024-06-12T17:00:55+02:00,R228.71,230.81,-2.10,-0.91%,clickacompany
31,ARA,2024-06-12T17:06:32+02:00,R7.10,7.10,,,clickacompany
32,APO,2024-06-12T17:06:32+02:00,R2.99,2.99,,,clickacompany
33,ARI,2024-06-12T17:00:04+02:00,R216.49,212.53,3.96,1.86%,clickacompany
34,ARL,2024-06-12T17:00:15+02:00,R144.18,143.49,0.69,0.48%,clickacompany
35,ART,2024-06-12T16:00:14+02:00,R21.20,20.90,0.30,1.44%,clickacompany
36,ASC,2024-06-12T16:30:56+02:00,R0.78,0.78,,,clickacompany
37,ATT,2024-06-12T17:00:43+02:00,R10.23,10.30,-0.07,-0.68%,clickacompany
38,AVI,2024-06-12T17:00:34+02:00,R86.00,85.80,0.20,0.23%,clickacompany
39,AYO,2024-06-12T17:06:32+02:00,R0.48,0.48,,,clickacompany
40,BAT,2024-06-12T17:08:41+02:00,R0.92,0.89,0.03,3.37%,clickacompany
41,BAW,2024-06-12T17:00:54+02:00,R88.50,88.74,-0.24,-0.27%,clickacompany
42,BAWP,2024-06-12T17:06:32+02:00,R0.81,0.81,,,clickacompany
43,BCF,2024-06-12T17:06:32+02:00,R10.81,10.81,,,clickacompany
44,BEL,2024-06-12T16:31:54+02:00,R26.00,25.97,0.03,0.12%,clickacompany
45,BHG,2024-06-12T17:00:36+02:00,R531.19,527.29,3.90,0.74%,clickacompany
46,BID,2024-06-12T17:08:00+02:00,R421.64,425.84,-4.20,-0.99%,clickacompany
47,BIK,2024-06-12T17:06:32+02:00,R0.17,0.17,,,clickacompany
48,BLU,2024-06-12T17:00:31+02:00,R4.23,4.20,0.03,0.71%,clickacompany
49,BIHLEB,2024-06-12T13:44:35+02:00,R782.10,783.00,-0.90,-0.11%,clickacompany
50,BRN,2024-06-12T17:06:32+02:00,R4.95,4.95,,,clickacompany
51,BRT,2024-06-12T17:06:32+02:00,R5.00,5.00,,,clickacompany
52,BSR,2024-06-12T17:06:32+02:00,R0.04,0.04,,,clickacompany
53,BTI,2024-06-12T17:08:46+02:00,R565.78,566.07,-0.29,-0.05%,clickacompany
54,BKI,2024-06-12T17:06:32+02:00,R0.73,0.73,,,clickacompany
55,BTN,2024-06-12T17:05:40+02:00,R6.90,7.14,-0.24,-3.36%,clickacompany
56,BVT,2024-06-12T17:00:17+02:00,R248.17,245.83,2.34,0.95%,clickacompany
57,BWN,2024-06-12T16:45:25+02:00,R1.95,1.99,-0.04,-2.01%,clickacompany
58,BYI,2024-06-12T17:00:08+02:00,R131.14,130.05,1.09,0.84%,clickacompany
59,CAA,2024-06-12T17:00:14+02:00,R12.18,12.05,0.13,1.08%,clickacompany
60,CAC,2024-06-12T10:53:50+02:00,R3.60,3.10,0.50,16.13%,clickacompany
61,CTA,2024-06-12T17:02:15+02:00,R1.21,1.20,0.01,0.83%,clickacompany
62,CVW,2024-06-12T17:06:32+02:00,R8.50,8.50,,,clickacompany
63,CAT,2024-06-12T15:24:34+02:00,R10.16,10.34,-0.18,-1.74%,clickacompany
64,CATP,2024-06-12T17:06:32+02:00,R95.15,95.15,,,clickacompany
65,CFR,2024-06-12T17:00:55+02:00,"R3,065.62","3,073.82",-8.20,-0.27%,clickacompany
66,CGR,2024-06-12T17:03:04+02:00,R5.80,5.70,0.10,1.75%,clickacompany
67,CHP,2024-06-12T17:00:40+02:00,R0.55,0.61,-0.06,-9.84%,clickacompany
68,CKS,2024-06-12T14:51:26+02:00,R30.00,29.00,1.00,3.45%,clickacompany
69,CLH,2024-06-12T17:00:19+02:00,R4.07,4.07,,,clickacompany
70,CLI,2024-06-12T14:31:01+02:00,R10.23,10.00,0.23,2.30%,clickacompany
71,CLS,2024-06-12T17:00:09+02:00,R303.14,297.14,6.00,2.02%,clickacompany
72,CMH,2024-06-12T17:00:09+02:00,R26.28,27.20,-0.92,-3.38%,clickacompany
73,CML,2024-06-12T17:00:44+02:00,R32.56,34.29,-1.73,-5.05%,clickacompany
74,CMO,2024-06-12T17:06:32+02:00,R0.06,0.06,,,clickacompany
75,CND,2024-06-12T17:06:32+02:00,R0.04,0.04,,,clickacompany
76,COH,2024-06-12T17:00:07+02:00,R10.34,10.40,-0.06,-0.58%,clickacompany
77,CPP,2024-06-12T16:49:36+02:00,R9.00,9.00,,,clickacompany
78,CPR,2024-06-12T17:00:34+02:00,R4.20,4.00,0.20,5.00%,clickacompany
79,CPI,2024-06-12T17:03:07+02:00,"R2,219.73","2,213.38",6.35,0.29%,clickacompany
80,CPIP,2024-06-12T15:26:17+02:00,R100.00,100.00,,,clickacompany
81,CRP,2024-06-12T17:06:32+02:00,R13.91,13.91,,,clickacompany
82,CSB,2024-06-12T17:00:15+02:00,R144.25,145.80,-1.55,-1.06%,clickacompany
83,DCP,2024-06-12T17:00:09+02:00,R31.80,31.67,0.13,0.41%,clickacompany
84,DKR,2024-06-12T17:06:32+02:00,R156.00,156.00,,,clickacompany
85,DIB,2024-06-12T17:00:04+02:00,R3.75,3.75,,,clickacompany
86,DLT,2024-06-12T12:54:51+02:00,R0.26,0.28,-0.02,-7.14%,clickacompany
87,DNB,2024-06-12T17:06:32+02:00,R2.30,2.30,,,clickacompany
88,DRA,2024-06-12T17:06:32+02:00,R23.01,23.01,,,clickacompany
89,DRD,2024-06-12T17:00:50+02:00,R15.62,15.35,0.27,1.76%,clickacompany
90,DSBP,2024-06-12T16:22:48+02:00,R93.05,93.01,0.04,0.04%,clickacompany
91,DSY,2024-06-12T17:02:30+02:00,R116.80,115.17,1.63,1.42%,clickacompany
92,DTC,2024-06-12T17:00:31+02:00,R38.40,38.11,0.29,0.76%,clickacompany
93,EEL,2024-06-12T17:06:32+02:00,R0.12,0.12,,,clickacompany
94,ELI,2024-06-12T17:06:32+02:00,R0.01,0.01,,,clickacompany
95,EMH,2024-06-12T17:06:32+02:00,R3.22,3.22,,,clickacompany
96,EMI,2024-06-12T17:00:19+02:00,R10.00,10.00,,,clickacompany
97,EMN,2024-06-12T10:35:46+02:00,R3.27,3.05,0.22,7.21%,clickacompany
98,ENX,2024-06-12T17:06:32+02:00,R9.20,9.20,,,clickacompany
99,EOH,2024-06-12T17:00:13+02:00,R1.55,1.56,-0.01,-0.64%,clickacompany
100,EPE,2024-06-12T17:06:32+02:00,R3.75,3.75,,,clickacompany
101,EPS,2024-06-12T17:06:32+02:00,R1.80,1.80,,,clickacompany
102,EQU,2024-06-12T17:00:50+02:00,R12.78,12.64,0.14,1.11%,clickacompany
103,EUZ,2024-06-12T13:25:24+02:00,R0.30,0.35,-0.05,-14.29%,clickacompany
104,EXP,2024-06-12T17:06:32+02:00,R11.50,11.50,,,clickacompany
