,id,dt,i,c,m,p,t
0,4SI,2024-06-19T12:49:45+02:00,R0.73,0.78,-0.05,-6.41%,clickacompany
1,ABG,2024-06-19T17:08:42+02:00,R183.40,176.72,6.68,3.78%,clickacompany
2,ABSP,2024-06-19T17:00:12+02:00,R740.00,736.01,3.99,0.54%,clickacompany
3,ACL,2024-06-19T17:00:46+02:00,R1.21,1.01,0.20,19.80%,clickacompany
4,ACS,2024-06-19T17:05:59+02:00,R7.86,7.86,,,clickacompany
5,ACT,2024-06-19T17:00:01+02:00,R2.85,2.90,-0.05,-1.72%,clickacompany
6,ADH,2024-06-19T17:00:02+02:00,R28.81,28.71,0.10,0.35%,clickacompany
7,ADR,2024-06-19T10:59:22+02:00,R4.24,4.00,0.24,6.00%,clickacompany
8,ADW,2024-06-19T17:05:59+02:00,R0.11,0.11,,,clickacompany
9,AEG,2024-06-19T17:00:33+02:00,R7.05,7.07,-0.02,-0.28%,clickacompany
10,AEL,2024-06-19T17:00:08+02:00,R13.39,13.12,0.27,2.06%,clickacompany
11,AFE,2024-06-19T17:00:52+02:00,R102.00,103.00,-1.00,-0.97%,clickacompany
12,AFEP,2024-06-19T17:05:59+02:00,R14.50,14.50,,,clickacompany
13,AFH,2024-06-19T17:00:53+02:00,R7.60,7.00,0.60,8.57%,clickacompany
14,ANI,2024-06-19T17:05:59+02:00,R4.50,4.50,,,clickacompany
15,AIL,2024-06-19T16:48:58+02:00,R6.15,6.00,0.15,2.50%,clickacompany
16,ATI,2024-06-19T17:05:59+02:00,R0.12,0.12,,,clickacompany
17,AFT,2024-06-19T17:00:11+02:00,R71.47,69.70,1.77,2.54%,clickacompany
18,AGL,2024-06-19T17:00:34+02:00,R556.00,552.25,3.75,0.68%,clickacompany
19,AHL,2024-06-19T17:05:59+02:00,R0.10,0.10,,,clickacompany
20,AIP,2024-06-19T17:00:21+02:00,R63.41,59.89,3.52,5.88%,clickacompany
21,APH,2024-06-19T17:00:46+02:00,R14.70,13.90,0.80,5.76%,clickacompany
22,AME,2024-06-19T17:00:29+02:00,R42.02,44.01,-1.99,-4.52%,clickacompany
23,AMS,2024-06-19T17:04:58+02:00,R600.23,588.02,12.21,2.08%,clickacompany
24,ANG,2024-06-19T17:00:00+02:00,R428.07,414.50,13.57,3.27%,clickacompany
25,ANH,2024-06-19T17:00:57+02:00,"R1,070.99","1,075.08",-4.09,-0.38%,clickacompany
26,AON,2024-06-19T17:05:59+02:00,R14.99,14.99,,,clickacompany
27,AOO,2024-06-19T17:05:59+02:00,R16.25,16.25,,,clickacompany
28,AOVP,2024-06-19T17:05:59+02:00,R10.03,10.03,,,clickacompany
29,APF,2024-06-19T17:05:59+02:00,R0.47,0.47,,,clickacompany
30,APN,2024-06-19T17:00:50+02:00,R243.74,236.36,7.38,3.12%,clickacompany
31,ARA,2024-06-19T09:15:07+02:00,R7.05,7.10,-0.05,-0.70%,clickacompany
32,APO,2024-06-19T17:05:59+02:00,R2.99,2.99,,,clickacompany
