,id,dt,i,c,m,p,t
0,4SI,2024-06-11T16:43:33+02:00,R0.78,0.72,0.06,8.33%,clickacompany
1,ABG,2024-06-11T17:00:26+02:00,R152.75,149.96,2.79,1.86%,clickacompany
2,ABSP,2024-06-11T16:04:47+02:00,R732.00,738.80,-6.80,-0.92%,clickacompany
3,ACL,2024-06-11T17:00:09+02:00,R1.01,1.07,-0.06,-5.61%,clickacompany
4,ACS,2024-06-11T15:32:47+02:00,R7.86,7.78,0.08,1.03%,clickacompany
5,ACT,2024-06-11T17:00:19+02:00,R2.78,2.74,0.04,1.46%,clickacompany
6,ADH,2024-06-11T17:00:34+02:00,R26.87,26.79,0.08,0.30%,clickacompany
7,ADR,2024-06-11T15:39:05+02:00,R3.70,3.70,,,clickacompany
8,ADW,2024-06-11T17:05:38+02:00,R0.11,0.11,,,clickacompany
9,AEG,2024-06-11T17:00:08+02:00,R6.27,6.15,0.12,1.95%,clickacompany
10,AEL,2024-06-11T17:00:57+02:00,R12.80,12.50,0.30,2.40%,clickacompany
11,AFE,2024-06-11T17:08:19+02:00,R95.00,94.95,0.05,0.05%,clickacompany
12,AFEP,2024-06-11T17:05:38+02:00,R15.00,15.00,,,clickacompany
13,AFH,2024-06-11T17:00:57+02:00,R7.36,7.01,0.35,4.99%,clickacompany
14,ANI,2024-06-11T16:06:47+02:00,R4.50,4.00,0.50,12.50%,clickacompany
15,AIL,2024-06-11T16:40:03+02:00,R5.90,5.80,0.10,1.72%,clickacompany
16,ATI,2024-06-11T17:05:38+02:00,R0.12,0.12,,,clickacompany
17,AFT,2024-06-11T17:00:59+02:00,R66.77,67.39,-0.62,-0.92%,clickacompany
18,AGL,2024-06-11T17:08:04+02:00,R559.10,563.25,-4.15,-0.74%,clickacompany
19,AHL,2024-06-11T17:05:38+02:00,R0.02,0.02,,,clickacompany
20,AIP,2024-06-11T17:00:48+02:00,R54.14,54.75,-0.61,-1.11%,clickacompany
21,APH,2024-06-11T17:00:44+02:00,R14.50,14.03,0.47,3.35%,clickacompany
22,AME,2024-06-11T15:32:47+02:00,R42.03,40.01,2.02,5.05%,clickacompany
23,AMS,2024-06-11T17:00:55+02:00,R562.52,573.74,-11.22,-1.96%,clickacompany
24,ANG,2024-06-11T17:05:35+02:00,R420.61,418.95,1.66,0.40%,clickacompany
25,ANH,2024-06-11T17:00:34+02:00,"R1,140.71","1,152.78",-12.07,-1.05%,clickacompany
26,AON,2024-06-11T17:05:38+02:00,R14.99,14.99,,,clickacompany
27,AOO,2024-06-11T17:05:38+02:00,R16.25,16.25,,,clickacompany
28,AOVP,2024-06-11T17:05:38+02:00,R10.03,10.03,,,clickacompany
29,APF,2024-06-11T17:00:07+02:00,R0.47,0.47,,,clickacompany
30,APN,2024-06-11T17:00:19+02:00,R230.81,229.36,1.45,0.63%,clickacompany
31,ARA,2024-06-11T15:58:06+02:00,R7.10,7.05,0.05,0.71%,clickacompany
32,APO,2024-06-11T17:05:38+02:00,R2.99,2.99,,,clickacompany
33,ARI,2024-06-11T17:07:06+02:00,R212.53,216.62,-4.09,-1.89%,clickacompany
34,ARL,2024-06-11T17:00:45+02:00,R143.49,143.00,0.49,0.34%,clickacompany
35,ART,2024-06-11T15:27:04+02:00,R20.90,20.96,-0.06,-0.29%,clickacompany
36,ASC,2024-06-11T16:46:17+02:00,R0.78,0.82,-0.04,-4.88%,clickacompany
37,ATT,2024-06-11T17:00:14+02:00,R10.30,10.02,0.28,2.79%,clickacompany
38,AVI,2024-06-11T17:00:42+02:00,R85.80,84.53,1.27,1.50%,clickacompany
39,AYO,2024-06-11T17:05:38+02:00,R0.48,0.48,,,clickacompany
40,BAT,2024-06-11T17:00:13+02:00,R0.89,0.94,-0.05,-5.32%,clickacompany
41,BAW,2024-06-11T17:03:04+02:00,R88.74,89.52,-0.78,-0.87%,clickacompany
42,BAWP,2024-06-11T17:05:38+02:00,R0.81,0.81,,,clickacompany
43,BCF,2024-06-11T15:32:47+02:00,R10.81,10.81,,,clickacompany
44,BEL,2024-06-11T15:27:04+02:00,R25.97,25.99,-0.02,-0.08%,clickacompany
45,BHG,2024-06-11T17:04:51+02:00,R527.29,546.79,-19.50,-3.57%,clickacompany
46,BID,2024-06-11T17:00:27+02:00,R425.84,426.00,-0.16,-0.04%,clickacompany
47,BIK,2024-06-11T16:43:32+02:00,R0.17,0.16,0.01,6.25%,clickacompany
48,BLU,2024-06-11T17:00:47+02:00,R4.20,4.30,-0.10,-2.33%,clickacompany
49,BIHLEB,2024-06-11T17:05:38+02:00,R783.00,783.00,,,clickacompany
50,BRN,2024-06-11T17:00:38+02:00,R4.95,4.95,,,clickacompany
51,BRT,2024-06-11T15:32:47+02:00,R5.00,4.60,0.40,8.70%,clickacompany
52,BSR,2024-06-11T17:05:38+02:00,R0.04,0.04,,,clickacompany
53,BTI,2024-06-11T17:00:21+02:00,R566.07,572.34,-6.27,-1.10%,clickacompany
54,BKI,2024-06-11T17:05:38+02:00,R0.73,0.73,,,clickacompany
55,BTN,2024-06-11T17:00:56+02:00,R7.14,7.20,-0.06,-0.83%,clickacompany
56,BVT,2024-06-11T17:09:42+02:00,R245.83,241.04,4.79,1.99%,clickacompany
57,BWN,2024-06-11T16:43:43+02:00,R2.00,1.94,0.06,3.09%,clickacompany
58,BYI,2024-06-11T17:05:17+02:00,R130.05,130.35,-0.30,-0.23%,clickacompany
59,CAA,2024-06-11T17:00:55+02:00,R12.05,11.85,0.20,1.69%,clickacompany
60,CAC,2024-06-11T17:05:38+02:00,R3.10,3.10,,,clickacompany
61,CTA,2024-06-11T17:00:13+02:00,R1.20,1.20,,,clickacompany
62,CVW,2024-06-11T17:05:38+02:00,R8.50,8.50,,,clickacompany
63,CAT,2024-06-11T17:00:50+02:00,R10.34,10.29,0.05,0.49%,clickacompany
64,CATP,2024-06-11T17:05:38+02:00,R95.15,95.15,,,clickacompany
65,CFR,2024-06-11T17:07:48+02:00,"R3,073.82","3,095.40",-21.58,-0.70%,clickacompany
66,CGR,2024-06-11T17:00:49+02:00,R5.70,5.66,0.04,0.71%,clickacompany
67,CHP,2024-06-11T16:43:32+02:00,R0.61,0.57,0.04,7.02%,clickacompany
68,CKS,2024-06-11T15:32:47+02:00,R29.00,30.00,-1.00,-3.33%,clickacompany
69,CLH,2024-06-11T17:00:57+02:00,R4.07,4.10,-0.03,-0.73%,clickacompany
70,CLI,2024-06-11T16:44:36+02:00,R10.00,9.85,0.15,1.52%,clickacompany
71,CLS,2024-06-11T17:03:35+02:00,R297.14,297.87,-0.73,-0.25%,clickacompany
72,CMH,2024-06-11T17:02:32+02:00,R27.20,27.90,-0.70,-2.51%,clickacompany
73,CML,2024-06-11T17:00:55+02:00,R34.29,34.24,0.05,0.15%,clickacompany
74,CMO,2024-06-11T17:05:38+02:00,R0.06,0.06,,,clickacompany
75,CND,2024-06-11T17:05:38+02:00,R0.04,0.04,,,clickacompany
76,COH,2024-06-11T17:00:09+02:00,R10.40,10.46,-0.06,-0.57%,clickacompany
77,CPP,2024-06-11T16:49:55+02:00,R9.00,9.00,,,clickacompany
78,CPR,2024-06-11T17:00:05+02:00,R4.00,4.25,-0.25,-5.88%,clickacompany
79,CPI,2024-06-11T17:00:21+02:00,"R2,213.38","2,158.60",54.78,2.54%,clickacompany
80,CPIP,2024-06-11T15:32:47+02:00,R100.00,100.00,,,clickacompany
81,CRP,2024-06-11T15:32:47+02:00,R13.91,14.42,-0.51,-3.54%,clickacompany
82,CSB,2024-06-11T17:00:51+02:00,R145.80,145.01,0.79,0.54%,clickacompany
83,DCP,2024-06-11T17:02:18+02:00,R31.67,31.46,0.21,0.67%,clickacompany
84,DKR,2024-06-11T17:05:38+02:00,R156.00,156.00,,,clickacompany
85,DIB,2024-06-11T17:00:28+02:00,R3.75,3.75,,,clickacompany
86,DLT,2024-06-11T16:43:32+02:00,R0.28,0.29,-0.01,-3.45%,clickacompany
87,DNB,2024-06-11T10:25:29+02:00,R2.30,2.30,,,clickacompany
88,DRA,2024-06-11T15:32:47+02:00,R23.01,23.01,,,clickacompany
89,DRD,2024-06-11T17:00:59+02:00,R15.35,15.43,-0.08,-0.52%,clickacompany
90,DSBP,2024-06-11T16:36:02+02:00,R93.01,95.00,-1.99,-2.09%,clickacompany
91,DSY,2024-06-11T17:08:54+02:00,R115.17,112.46,2.71,2.41%,clickacompany
92,DTC,2024-06-11T17:00:22+02:00,R38.11,37.80,0.31,0.82%,clickacompany
93,EEL,2024-06-11T17:05:38+02:00,R0.12,0.12,,,clickacompany
94,ELI,2024-06-11T17:05:38+02:00,R0.01,0.01,,,clickacompany
95,EMH,2024-06-11T17:05:38+02:00,R3.22,3.22,,,clickacompany
96,EMI,2024-06-11T17:00:19+02:00,R10.00,9.61,0.39,4.06%,clickacompany
97,EMN,2024-06-11T16:36:03+02:00,R3.05,3.05,,,clickacompany
98,ENX,2024-06-11T16:08:00+02:00,R9.20,9.49,-0.29,-3.06%,clickacompany
99,EOH,2024-06-11T17:09:38+02:00,R1.56,1.62,-0.06,-3.70%,clickacompany
100,EPE,2024-06-11T17:00:29+02:00,R3.75,3.63,0.12,3.31%,clickacompany
101,EPS,2024-06-11T17:05:38+02:00,R1.80,1.80,,,clickacompany
102,EQU,2024-06-11T17:00:59+02:00,R12.64,12.71,-0.07,-0.55%,clickacompany
103,EUZ,2024-06-11T16:43:33+02:00,R0.35,0.39,-0.04,-10.26%,clickacompany
104,EXP,2024-06-11T17:05:38+02:00,R11.50,11.50,,,clickacompany
105,EXX,2024-06-11T17:00:42+02:00,R170.10,172.60,-2.50,-1.45%,clickacompany
106,FTA,2024-06-11T15:32:47+02:00,R15.00,15.20,-0.20,-1.32%,clickacompany
107,FTB,2024-06-11T17:05:38+02:00,R4.18,3.92,0.26,6.63%,clickacompany
108,FBR,2024-06-11T17:00:59+02:00,R49.50,47.74,1.76,3.69%,clickacompany
109,FFB,2024-06-11T17:00:47+02:00,R15.90,15.76,0.14,0.89%,clickacompany
110,FGL,2024-06-11T17:00:05+02:00,R0.51,0.50,0.01,2.00%,clickacompany
111,FTH,2024-06-11T17:00:35+02:00,R6.61,6.99,-0.38,-5.44%,clickacompany
112,FSR,2024-06-11T17:09:29+02:00,R64.48,63.34,1.14,1.80%,clickacompany
113,GML,2024-06-11T16:43:59+02:00,R2.80,2.85,-0.05,-1.75%,clickacompany
114,GFI,2024-06-11T17:00:30+02:00,R285.03,290.40,-5.37,-1.85%,clickacompany
115,GLN,2024-06-11T17:02:01+02:00,R109.76,113.45,-3.69,-3.25%,clickacompany
116,GND,2024-06-11T17:00:19+02:00,R13.18,13.55,-0.37,-2.73%,clickacompany
117,GNDP,2024-06-11T17:00:15+02:00,R86.50,88.39,-1.89,-2.14%,clickacompany
118,GPL,2024-06-11T15:27:06+02:00,R3.50,3.52,-0.02,-0.57%,clickacompany
119,GSH,2024-06-11T16:02:27+02:00,R252.90,252.00,0.90,0.36%,clickacompany
120,GRT,2024-06-11T17:00:54+02:00,R11.20,11.11,0.09,0.81%,clickacompany
121,GTC,2024-06-11T17:05:38+02:00,R40.00,40.00,,,clickacompany
122,HAR,2024-06-11T17:04:49+02:00,R152.63,156.51,-3.88,-2.48%,clickacompany
123,HCI,2024-06-11T17:00:31+02:00,R159.92,158.00,1.92,1.22%,clickacompany
124,HDC,2024-06-11T17:00:46+02:00,R167.87,167.99,-0.12,-0.07%,clickacompany
125,HET,2024-06-11T17:05:38+02:00,R14.00,14.00,,,clickacompany
126,HIL,2024-06-11T17:05:38+02:00,R25.00,25.00,,,clickacompany
127,HLM,2024-06-11T16:43:32+02:00,R3.73,3.75,-0.02,-0.53%,clickacompany
128,HMN,2024-06-11T17:00:21+02:00,R6.63,6.67,-0.04,-0.60%,clickacompany
129,HUG,2024-06-11T17:00:40+02:00,R2.24,2.20,0.04,1.82%,clickacompany
130,HYP,2024-06-11T17:00:53+02:00,R28.31,28.20,0.11,0.39%,clickacompany
131,IBX,2024-06-11T15:32:47+02:00,R97.30,97.30,,,clickacompany
132,IMP,2024-06-11T17:00:46+02:00,R84.35,87.10,-2.75,-3.16%,clickacompany
133,INL,2024-06-11T17:00:32+02:00,R124.75,124.73,0.02,0.02%,clickacompany
134,INP,2024-06-11T17:00:28+02:00,R125.72,124.85,0.87,0.70%,clickacompany
135,INPP,2024-06-11T17:05:38+02:00,R122.00,122.00,,,clickacompany
136,INPPR,2024-06-11T17:05:38+02:00,R88.00,88.00,,,clickacompany
137,INPR,2024-06-11T17:00:53+02:00,R86.99,87.20,-0.21,-0.24%,clickacompany
138,IVT,2024-06-11T17:00:01+02:00,R26.00,25.99,0.01,0.04%,clickacompany
139,IVTP,2024-06-11T16:06:29+02:00,R99.75,95.00,4.75,5.00%,clickacompany
140,ISA,2024-06-11T16:43:32+02:00,R1.98,1.90,0.08,4.21%,clickacompany
141,ISB,2024-06-11T16:36:02+02:00,R0.73,0.80,-0.07,-8.75%,clickacompany
142,ITE,2024-06-11T17:00:34+02:00,R9.51,9.69,-0.18,-1.86%,clickacompany
143,JBL,2024-06-11T17:00:03+02:00,R1.85,1.87,-0.02,-1.07%,clickacompany
144,JSE,2024-06-11T17:00:55+02:00,R95.50,92.59,2.91,3.14%,clickacompany
145,KAL,2024-06-11T17:00:08+02:00,R46.00,46.00,,,clickacompany
146,KAP,2024-06-11T17:00:44+02:00,R2.42,2.49,-0.07,-2.81%,clickacompany
147,KRO,2024-06-11T17:00:50+02:00,R570.19,572.03,-1.84,-0.32%,clickacompany
148,KBO,2024-06-11T17:05:38+02:00,R0.01,0.01,,,clickacompany
149,KIO,2024-06-11T17:05:04+02:00,R439.44,454.79,-15.35,-3.38%,clickacompany
150,KP2,2024-06-11T16:49:30+02:00,R0.51,0.50,0.01,2.00%,clickacompany
151,KST,2024-06-11T17:00:45+02:00,R16.33,16.20,0.13,0.80%,clickacompany
152,LAB,2024-06-11T17:05:38+02:00,R0.07,0.07,,,clickacompany
153,LSK,2024-06-11T16:43:32+02:00,R89.36,85.00,4.36,5.13%,clickacompany
154,LEW,2024-06-11T16:48:24+02:00,R50.75,50.78,-0.03,-0.06%,clickacompany
155,LHC,2024-06-11T17:00:36+02:00,R11.50,11.79,-0.29,-2.46%,clickacompany
156,LBR,2024-06-11T17:00:56+02:00,R3.53,3.50,0.03,0.86%,clickacompany
157,LTE,2024-06-11T17:00:46+02:00,R7.76,7.75,0.01,0.13%,clickacompany
158,LNF,2024-06-11T17:05:38+02:00,R12.00,12.00,,,clickacompany
159,MHB,2024-06-11T15:32:47+02:00,R4.60,4.60,,,clickacompany
160,MTU,2024-06-11T16:49:27+02:00,R1.71,1.87,-0.16,-8.56%,clickacompany
161,MCZ,2024-06-11T16:36:02+02:00,R1.90,1.90,,,clickacompany
162,MDI,2024-06-11T16:44:12+02:00,R12.00,12.00,,,clickacompany
163,MFL,2024-06-11T15:58:05+02:00,R2.55,2.50,0.05,2.00%,clickacompany
164,MMP,2024-06-11T14:31:19+02:00,R29.15,29.01,0.14,0.48%,clickacompany
165,MNP,2024-06-11T17:06:34+02:00,R349.50,355.61,-6.11,-1.72%,clickacompany
166,MTM,2024-06-11T17:00:14+02:00,R21.39,21.22,0.17,0.80%,clickacompany
167,MKR,2024-06-11T17:00:25+02:00,R102.50,104.15,-1.65,-1.58%,clickacompany
168,MTH,2024-06-11T17:00:40+02:00,R84.77,85.84,-1.07,-1.25%,clickacompany
169,MPT,2024-06-11T16:43:32+02:00,R25.70,25.56,0.14,0.55%,clickacompany
170,MRF,2024-06-11T17:05:45+02:00,R1.30,1.29,0.01,0.78%,clickacompany
171,MRP,2024-06-11T17:00:20+02:00,R182.94,179.00,3.94,2.20%,clickacompany
172,MSP,2024-06-11T17:00:03+02:00,R17.23,17.24,-0.01,-0.06%,clickacompany
173,MST,2024-06-11T17:00:51+02:00,R9.20,9.19,0.01,0.11%,clickacompany
174,MTA,2024-06-11T17:00:56+02:00,R10.95,10.80,0.15,1.39%,clickacompany
175,MTNZF,2024-06-11T15:11:29+02:00,R14.11,14.11,,,clickacompany
176,MTN,2024-06-11T17:00:24+02:00,R79.78,80.22,-0.44,-0.55%,clickacompany
177,MCG,2024-06-11T17:03:03+02:00,R109.47,109.64,-0.17,-0.16%,clickacompany
178,MUR,2024-06-11T17:00:46+02:00,R1.91,1.90,0.01,0.53%,clickacompany
179,NCS,2024-06-11T13:58:48+02:00,R0.82,0.82,,,clickacompany
180,NED,2024-06-11T17:00:15+02:00,R225.90,223.13,2.77,1.24%,clickacompany
181,NY1,2024-06-11T17:00:12+02:00,R37.00,37.37,-0.37,-0.99%,clickacompany
182,N91,2024-06-11T17:00:31+02:00,R37.54,37.88,-0.34,-0.90%,clickacompany
183,NPH,2024-06-11T17:00:44+02:00,R107.74,110.32,-2.58,-2.34%,clickacompany
184,NPK,2024-06-11T17:00:41+02:00,R181.00,180.46,0.54,0.30%,clickacompany
185,NPKP,2024-06-11T17:05:38+02:00,R0.70,0.70,,,clickacompany
186,NPN,2024-06-11T17:00:23+02:00,"R3,820.91","3,845.07",-24.16,-0.63%,clickacompany
187,NPP1,2024-06-11T17:05:38+02:00,R1.31,1.31,,,clickacompany
188,NRL,2024-06-11T17:05:38+02:00,R4.80,4.80,,,clickacompany
189,NRP,2024-06-11T17:00:38+02:00,R133.39,133.39,,,clickacompany
190,NTC,2024-06-11T17:03:35+02:00,R11.78,11.67,0.11,0.94%,clickacompany
191,NTCP,2024-06-11T15:27:06+02:00,R79.60,76.37,3.23,4.23%,clickacompany
192,XII,2024-06-11T17:05:38+02:00,R0.01,0.01,,,clickacompany
193,NVS,2024-06-11T16:22:50+02:00,R5.82,5.60,0.22,3.93%,clickacompany
194,NWL,2024-06-11T15:32:47+02:00,R27.60,28.99,-1.39,-4.79%,clickacompany
195,OAO,2024-06-11T15:32:47+02:00,R0.09,0.09,,,clickacompany
196,OAS,2024-06-11T15:47:31+02:00,R19.50,19.50,,,clickacompany
197,OCE,2024-06-11T17:00:41+02:00,R75.48,74.15,1.33,1.79%,clickacompany
198,OCT,2024-06-11T17:00:28+02:00,R9.11,9.25,-0.14,-1.51%,clickacompany
199,OMU,2024-06-11T17:06:43+02:00,R10.45,10.30,0.15,1.46%,clickacompany
200,OMN,2024-06-11T17:00:03+02:00,R58.28,57.44,0.84,1.46%,clickacompany
201,ORN,2024-06-11T17:00:45+02:00,R0.22,0.22,,,clickacompany
202,OUT,2024-06-11T17:00:53+02:00,R41.55,41.28,0.27,0.65%,clickacompany
203,PAN,2024-06-11T17:09:42+02:00,R5.68,5.73,-0.05,-0.87%,clickacompany
