,id,dt,i,c,m,p,t
0,4SI,2024-06-18T15:56:40+02:00,R0.78,0.75,0.03,4.00%,clickacompany
1,ABG,2024-06-18T17:07:43+02:00,R176.72,165.91,10.81,6.52%,clickacompany
2,ABSP,2024-06-18T17:00:59+02:00,R736.01,726.00,10.01,1.38%,clickacompany
3,ACL,2024-06-18T17:02:47+02:00,R1.01,1.00,0.01,1.00%,clickacompany
4,ACS,2024-06-18T17:06:32+02:00,R7.86,7.86,,,clickacompany
5,ACT,2024-06-18T11:37:44+02:00,R2.90,2.89,0.01,0.35%,clickacompany
6,ADH,2024-06-18T17:00:03+02:00,R28.71,27.40,1.31,4.78%,clickacompany
7,ADR,2024-06-18T17:00:25+02:00,R4.00,3.90,0.10,2.56%,clickacompany
8,ADW,2024-06-18T17:06:32+02:00,R0.11,0.11,,,clickacompany
9,AEG,2024-06-18T17:00:06+02:00,R7.07,6.80,0.27,3.97%,clickacompany
10,AEL,2024-06-18T17:00:46+02:00,R13.12,12.52,0.60,4.79%,clickacompany
11,AFE,2024-06-18T17:00:26+02:00,R103.00,96.91,6.09,6.28%,clickacompany
12,AFEP,2024-06-18T17:06:32+02:00,R14.50,14.50,,,clickacompany
13,AFH,2024-06-18T17:07:17+02:00,R7.00,6.91,0.09,1.30%,clickacompany
14,ANI,2024-06-18T16:37:37+02:00,R4.50,4.50,,,clickacompany
15,AIL,2024-06-18T17:00:07+02:00,R6.00,5.81,0.19,3.27%,clickacompany
16,ATI,2024-06-18T17:06:32+02:00,R0.12,0.12,,,clickacompany
17,AFT,2024-06-18T17:00:52+02:00,R69.70,66.63,3.07,4.61%,clickacompany
18,AGL,2024-06-18T17:00:16+02:00,R552.25,560.72,-8.47,-1.51%,clickacompany
19,AHL,2024-06-18T14:04:39+02:00,R0.10,0.02,0.08,400.00%,clickacompany
20,AIP,2024-06-18T17:00:26+02:00,R59.89,57.74,2.15,3.72%,clickacompany
21,APH,2024-06-18T16:24:15+02:00,R13.90,15.00,-1.10,-7.33%,clickacompany
22,AME,2024-06-18T17:00:41+02:00,R44.01,44.00,0.01,0.02%,clickacompany
23,AMS,2024-06-18T17:00:50+02:00,R588.02,575.57,12.45,2.16%,clickacompany
24,ANG,2024-06-18T17:00:21+02:00,R414.50,420.62,-6.12,-1.45%,clickacompany
25,ANH,2024-06-18T17:06:13+02:00,"R1,075.08","1,087.71",-12.63,-1.16%,clickacompany
26,AON,2024-06-18T17:06:32+02:00,R14.99,14.99,,,clickacompany
27,AOO,2024-06-18T17:06:32+02:00,R16.25,16.25,,,clickacompany
28,AOVP,2024-06-18T17:06:32+02:00,R10.03,10.03,,,clickacompany
29,APF,2024-06-18T17:00:07+02:00,R0.47,0.47,,,clickacompany
30,APN,2024-06-18T17:06:19+02:00,R236.36,220.13,16.23,7.37%,clickacompany
31,ARA,2024-06-18T16:42:01+02:00,R7.10,7.10,,,clickacompany
32,APO,2024-06-18T17:06:32+02:00,R2.99,2.99,,,clickacompany
33,ARI,2024-06-18T17:00:24+02:00,R218.53,214.34,4.19,1.95%,clickacompany
34,ARL,2024-06-18T17:00:44+02:00,R159.87,153.89,5.98,3.89%,clickacompany
35,ART,2024-06-18T16:37:37+02:00,R21.40,21.40,,,clickacompany
36,ASC,2024-06-18T16:37:37+02:00,R0.78,0.80,-0.02,-2.50%,clickacompany
37,ATT,2024-06-18T17:00:59+02:00,R11.21,10.37,0.84,8.10%,clickacompany
38,AVI,2024-06-18T17:00:40+02:00,R94.76,88.45,6.31,7.13%,clickacompany
39,AYO,2024-06-18T11:11:53+02:00,R1.00,1.23,-0.23,-18.70%,clickacompany
40,BAT,2024-06-18T17:00:55+02:00,R0.88,0.90,-0.02,-2.22%,clickacompany
41,BAW,2024-06-18T17:00:42+02:00,R90.31,88.90,1.41,1.59%,clickacompany
42,BAWP,2024-06-18T17:06:32+02:00,R0.81,0.81,,,clickacompany
43,BCF,2024-06-18T17:06:32+02:00,R10.81,10.81,,,clickacompany
44,BEL,2024-06-18T17:00:36+02:00,R26.00,26.55,-0.55,-2.07%,clickacompany
45,BHG,2024-06-18T17:00:03+02:00,R508.89,520.34,-11.45,-2.20%,clickacompany
46,BID,2024-06-18T17:02:52+02:00,R415.59,404.95,10.64,2.63%,clickacompany
47,BIK,2024-06-18T17:06:32+02:00,R0.13,0.13,,,clickacompany
48,BLU,2024-06-18T17:00:22+02:00,R4.13,4.10,0.03,0.73%,clickacompany
