,id,dt,i,c,m,p,t
0,4SI,2024-05-31T16:25:54+02:00,R0.75,0.80,-0.05,-6.25%,clickacompany
1,ABG,2024-05-31T17:04:08+02:00,R149.17,147.41,1.76,1.19%,clickacompany
2,ABSP,2024-05-31T16:47:59+02:00,R739.00,733.57,5.43,0.74%,clickacompany
3,ACL,2024-05-31T17:05:40+02:00,R1.08,1.09,-0.01,-0.92%,clickacompany
4,ACS,2024-05-31T17:01:00+02:00,R7.78,7.78,,,clickacompany
5,ACT,2024-05-31T16:37:00+02:00,R2.79,2.62,0.17,6.49%,clickacompany
6,ADH,2024-05-31T17:00:30+02:00,R26.00,26.50,-0.50,-1.89%,clickacompany
7,ADR,2024-05-31T17:00:47+02:00,R3.95,4.28,-0.33,-7.71%,clickacompany
8,ADW,2024-05-31T14:49:03+02:00,R0.07,0.05,0.02,40.00%,clickacompany
9,AEG,2024-05-31T17:00:12+02:00,R5.90,5.90,,,clickacompany
10,AEL,2024-05-31T17:00:31+02:00,R12.85,13.10,-0.25,-1.91%,clickacompany
11,AFE,2024-05-31T17:09:29+02:00,R95.71,94.26,1.45,1.54%,clickacompany
12,AFEP,2024-05-31T17:01:00+02:00,R15.00,15.00,,,clickacompany
13,AFH,2024-05-31T17:00:35+02:00,R6.40,6.40,,,clickacompany
14,ANI,2024-05-31T13:43:50+02:00,R4.95,4.00,0.95,23.75%,clickacompany
15,AIL,2024-05-31T16:10:31+02:00,R5.60,5.61,-0.01,-0.18%,clickacompany
16,ATI,2024-05-31T17:01:00+02:00,R0.12,0.12,,,clickacompany
17,AFT,2024-05-31T17:07:31+02:00,R70.46,70.25,0.21,0.30%,clickacompany
18,AGL,2024-05-31T17:05:19+02:00,R593.66,590.72,2.94,0.50%,clickacompany
19,AHL,2024-05-31T17:01:00+02:00,R0.02,0.02,,,clickacompany
20,AIP,2024-05-31T17:08:03+02:00,R56.78,54.20,2.58,4.76%,clickacompany
21,APH,2024-05-31T14:15:40+02:00,R15.30,15.44,-0.14,-0.91%,clickacompany
22,AME,2024-05-31T16:49:46+02:00,R44.00,44.43,-0.43,-0.97%,clickacompany
23,AMS,2024-05-31T17:09:13+02:00,R610.55,632.53,-21.98,-3.47%,clickacompany
24,ANG,2024-05-31T17:08:01+02:00,R447.40,459.16,-11.76,-2.56%,clickacompany
25,ANH,2024-05-31T17:08:35+02:00,"R1,172.74","1,165.39",7.35,0.63%,clickacompany
26,AON,2024-05-31T17:01:00+02:00,R14.99,14.99,,,clickacompany
27,AOO,2024-05-31T17:01:00+02:00,R16.25,16.25,,,clickacompany
28,AOVP,2024-05-31T17:01:00+02:00,R10.03,10.03,,,clickacompany
29,APF,2024-05-31T17:00:51+02:00,R0.50,0.50,,,clickacompany
30,APN,2024-05-31T17:00:10+02:00,R232.36,232.25,0.11,0.05%,clickacompany
31,ARA,2024-05-31T17:01:00+02:00,R7.05,7.05,,,clickacompany
32,APO,2024-05-31T17:01:00+02:00,R2.99,2.99,,,clickacompany
33,ARI,2024-05-31T17:09:29+02:00,R225.84,226.42,-0.58,-0.26%,clickacompany
34,ARL,2024-05-31T17:00:51+02:00,R139.72,150.79,-11.07,-7.34%,clickacompany
35,ART,2024-05-31T15:27:35+02:00,R20.40,20.70,-0.30,-1.45%,clickacompany
36,ASC,2024-05-31T11:41:24+02:00,R0.79,0.79,,,clickacompany
37,ATT,2024-05-31T17:00:13+02:00,R9.98,9.85,0.13,1.32%,clickacompany
38,AVI,2024-05-31T17:00:33+02:00,R84.83,86.72,-1.89,-2.18%,clickacompany
39,AYO,2024-05-31T15:00:41+02:00,R0.49,0.47,0.02,4.26%,clickacompany
40,BAT,2024-05-31T16:48:05+02:00,R1.15,1.15,,,clickacompany
41,BAW,2024-05-31T17:00:02+02:00,R90.17,89.57,0.60,0.67%,clickacompany
42,BAWP,2024-05-31T17:01:00+02:00,R0.81,0.81,,,clickacompany
43,BCF,2024-05-31T17:01:00+02:00,R10.80,10.80,,,clickacompany
44,BEL,2024-05-31T13:43:20+02:00,R25.75,26.00,-0.25,-0.96%,clickacompany
45,BHG,2024-05-31T17:00:36+02:00,R553.63,549.50,4.13,0.75%,clickacompany
46,BID,2024-05-31T17:05:15+02:00,R415.84,422.00,-6.16,-1.46%,clickacompany
47,BIK,2024-05-31T17:00:15+02:00,R0.16,0.17,-0.01,-5.88%,clickacompany
48,BLU,2024-05-31T17:00:20+02:00,R4.30,4.28,0.02,0.47%,clickacompany
49,BIHLEB,2024-05-31T17:01:00+02:00,R783.00,783.00,,,clickacompany
50,BRN,2024-05-31T15:01:08+02:00,R4.65,4.60,0.05,1.09%,clickacompany
51,BRT,2024-05-31T17:01:00+02:00,R4.65,4.65,,,clickacompany
52,BSR,2024-05-31T17:01:00+02:00,R0.04,0.04,,,clickacompany
53,BTI,2024-05-31T17:06:04+02:00,R579.00,565.79,13.21,2.33%,clickacompany
54,BKI,2024-05-31T17:01:00+02:00,R0.73,0.73,,,clickacompany
55,BTN,2024-05-31T17:07:06+02:00,R7.34,7.17,0.17,2.37%,clickacompany
56,BVT,2024-05-31T17:00:07+02:00,R245.62,246.79,-1.17,-0.47%,clickacompany
57,BWN,2024-05-31T16:24:04+02:00,R1.89,1.94,-0.05,-2.58%,clickacompany
58,BYI,2024-05-31T17:00:40+02:00,R133.33,135.33,-2.00,-1.48%,clickacompany
59,CAA,2024-05-31T17:00:03+02:00,R11.90,12.00,-0.10,-0.83%,clickacompany
60,CAC,2024-05-31T17:01:00+02:00,R3.10,3.10,,,clickacompany
61,CTA,2024-05-31T17:00:46+02:00,R1.16,1.16,,,clickacompany
62,CVW,2024-05-31T17:01:00+02:00,R8.50,8.50,,,clickacompany
63,CAT,2024-05-31T17:02:42+02:00,R10.00,10.15,-0.15,-1.48%,clickacompany
64,CATP,2024-05-31T17:01:00+02:00,R95.15,95.15,,,clickacompany
65,CFR,2024-05-31T17:08:00+02:00,"R2,983.50","2,936.16",47.34,1.61%,clickacompany
66,CGN,2024-05-31T17:01:00+02:00,R1.06,1.06,,,clickacompany
67,CGR,2024-05-31T17:00:45+02:00,R5.85,5.85,,,clickacompany
68,CHP,2024-05-31T17:01:00+02:00,R0.61,0.61,,,clickacompany
69,CKS,2024-05-31T12:56:47+02:00,R33.00,31.90,1.10,3.45%,clickacompany
70,CLH,2024-05-31T17:00:13+02:00,R4.13,4.15,-0.02,-0.48%,clickacompany
71,CLI,2024-05-31T14:11:22+02:00,R10.07,10.44,-0.37,-3.54%,clickacompany
72,CLS,2024-05-31T17:09:53+02:00,R295.76,298.99,-3.23,-1.08%,clickacompany
73,CMH,2024-05-31T17:00:24+02:00,R28.30,27.90,0.40,1.43%,clickacompany
74,CML,2024-05-31T17:02:46+02:00,R34.77,34.10,0.67,1.96%,clickacompany
75,CMO,2024-05-31T17:01:00+02:00,R0.06,0.06,,,clickacompany
76,CND,2024-05-31T17:01:00+02:00,R0.04,0.04,,,clickacompany
77,COH,2024-05-31T17:05:35+02:00,R10.71,10.60,0.11,1.04%,clickacompany
78,CPP,2024-05-31T15:32:49+02:00,R8.51,8.92,-0.41,-4.60%,clickacompany
79,CPR,2024-05-31T17:00:07+02:00,R4.34,4.25,0.09,2.12%,clickacompany
80,CPI,2024-05-31T17:00:50+02:00,"R2,129.90","2,164.62",-34.72,-1.60%,clickacompany
81,CPIP,2024-05-31T17:01:00+02:00,R100.00,100.00,,,clickacompany
82,CRP,2024-05-31T10:31:25+02:00,R14.67,14.79,-0.12,-0.81%,clickacompany
83,CSB,2024-05-31T17:00:04+02:00,R144.00,144.12,-0.12,-0.08%,clickacompany
84,DCP,2024-05-31T17:09:13+02:00,R31.28,32.80,-1.52,-4.63%,clickacompany
85,DKR,2024-05-31T17:01:00+02:00,R156.00,156.00,,,clickacompany
86,DIB,2024-05-31T17:00:57+02:00,R3.90,3.90,,,clickacompany
