,id,dt,i,c,m,p,t
0,4SI,2024-06-05T11:12:17+02:00,R0.74,0.78,-0.04,-5.13%,clickacompany
1,ABG,2024-06-05T17:00:25+02:00,R150.16,153.63,-3.47,-2.26%,clickacompany
2,ABSP,2024-06-05T17:00:52+02:00,R736.25,737.06,-0.81,-0.11%,clickacompany
3,ACL,2024-06-05T17:05:01+02:00,R1.06,1.09,-0.03,-2.75%,clickacompany
4,ACS,2024-06-05T17:06:41+02:00,R7.78,7.78,,,clickacompany
5,ACT,2024-06-05T12:21:01+02:00,R2.61,2.65,-0.04,-1.51%,clickacompany
6,ADH,2024-06-05T17:02:17+02:00,R26.37,26.19,0.18,0.69%,clickacompany
7,ADR,2024-06-05T12:18:22+02:00,R3.75,3.97,-0.22,-5.54%,clickacompany
8,ADW,2024-06-05T11:13:09+02:00,R0.13,0.13,,,clickacompany
9,AEG,2024-06-05T17:00:21+02:00,R6.12,6.00,0.12,2.00%,clickacompany
10,AEL,2024-06-05T17:00:48+02:00,R12.20,12.65,-0.45,-3.56%,clickacompany
11,AFE,2024-06-05T17:00:41+02:00,R95.00,96.04,-1.04,-1.08%,clickacompany
12,AFEP,2024-06-05T17:06:41+02:00,R15.00,15.00,,,clickacompany
13,AFH,2024-06-05T17:05:58+02:00,R6.80,6.46,0.34,5.26%,clickacompany
14,ANI,2024-06-05T17:06:41+02:00,R4.00,4.00,,,clickacompany
15,AIL,2024-06-05T16:47:46+02:00,R5.60,5.60,,,clickacompany
16,ATI,2024-06-05T17:06:41+02:00,R0.12,0.12,,,clickacompany
17,AFT,2024-06-05T17:02:58+02:00,R68.32,69.00,-0.68,-0.99%,clickacompany
18,AGL,2024-06-05T17:07:33+02:00,R572.41,572.75,-0.34,-0.06%,clickacompany
19,AHL,2024-06-05T17:06:41+02:00,R0.02,0.02,,,clickacompany
20,AIP,2024-06-05T17:00:51+02:00,R55.06,55.81,-0.75,-1.34%,clickacompany
21,APH,2024-06-05T17:06:41+02:00,R15.46,15.46,,,clickacompany
22,AME,2024-06-05T17:06:41+02:00,R47.47,47.47,,,clickacompany
23,AMS,2024-06-05T17:00:13+02:00,R602.76,580.55,22.21,3.83%,clickacompany
24,ANG,2024-06-05T17:09:34+02:00,R442.79,431.31,11.48,2.66%,clickacompany
25,ANH,2024-06-05T17:00:15+02:00,"R1,178.00","1,154.00",24.00,2.08%,clickacompany
26,AON,2024-06-05T17:06:41+02:00,R14.99,14.99,,,clickacompany
27,AOO,2024-06-05T17:06:41+02:00,R16.25,16.25,,,clickacompany
28,AOVP,2024-06-05T17:06:41+02:00,R10.03,10.03,,,clickacompany
29,APF,2024-06-05T17:00:51+02:00,R0.45,0.47,-0.02,-4.26%,clickacompany
30,APN,2024-06-05T17:00:38+02:00,R233.10,234.60,-1.50,-0.64%,clickacompany
31,ARA,2024-06-05T12:15:44+02:00,R7.05,7.10,-0.05,-0.70%,clickacompany
32,APO,2024-06-05T17:06:41+02:00,R2.99,2.99,,,clickacompany
33,ARI,2024-06-05T17:00:26+02:00,R219.61,216.69,2.92,1.35%,clickacompany
34,ARL,2024-06-05T17:00:39+02:00,R145.99,149.45,-3.46,-2.32%,clickacompany
