,id,dt,i,c,m,p,t
0,4SI,2024-06-21T16:07:03+02:00,R0.76,0.73,0.03,4.11%,clickacompany
1,ABG,2024-06-21T17:04:46+02:00,R172.68,173.26,-0.58,-0.33%,clickacompany
2,ABSP,2024-06-21T16:49:41+02:00,R745.56,745.00,0.56,0.08%,clickacompany
3,ACL,2024-06-21T17:00:16+02:00,R1.24,1.20,0.04,3.33%,clickacompany
4,ACS,2024-06-21T17:06:43+02:00,R7.86,7.86,,,clickacompany
5,ACT,2024-06-21T17:06:43+02:00,R2.85,2.85,,,clickacompany
6,ADH,2024-06-21T17:00:19+02:00,R28.44,28.33,0.11,0.39%,clickacompany
7,ADR,2024-06-21T14:07:47+02:00,R3.98,3.98,,,clickacompany
8,ADW,2024-06-21T12:15:27+02:00,R0.05,0.11,-0.06,-54.55%,clickacompany
9,AEG,2024-06-21T16:35:13+02:00,R7.10,7.00,0.10,1.43%,clickacompany
10,AEL,2024-06-21T17:00:57+02:00,R14.08,14.15,-0.07,-0.49%,clickacompany
11,AFE,2024-06-21T17:00:59+02:00,R104.09,102.00,2.09,2.05%,clickacompany
12,AFEP,2024-06-21T17:06:43+02:00,R14.50,14.50,,,clickacompany
13,AFH,2024-06-21T17:00:28+02:00,R7.16,7.49,-0.33,-4.41%,clickacompany
14,ANI,2024-06-21T17:06:43+02:00,R4.50,4.50,,,clickacompany
15,AIL,2024-06-21T17:00:56+02:00,R6.10,6.10,,,clickacompany
16,ATI,2024-06-21T17:06:43+02:00,R0.12,0.12,,,clickacompany
17,AFT,2024-06-21T17:00:17+02:00,R71.12,72.02,-0.90,-1.25%,clickacompany
18,AGL,2024-06-21T17:06:25+02:00,R557.98,568.66,-10.68,-1.88%,clickacompany
19,AHL,2024-06-21T17:06:43+02:00,R0.10,0.10,,,clickacompany
20,AIP,2024-06-21T17:00:32+02:00,R63.36,62.85,0.51,0.81%,clickacompany
21,APH,2024-06-21T17:00:52+02:00,R13.90,14.50,-0.60,-4.14%,clickacompany
22,AME,2024-06-21T17:06:43+02:00,R42.02,42.02,,,clickacompany
23,AMS,2024-06-21T17:03:00+02:00,R616.35,620.68,-4.33,-0.70%,clickacompany
24,ANG,2024-06-21T17:10:29+02:00,R429.55,427.73,1.82,0.43%,clickacompany
25,ANH,2024-06-21T17:09:30+02:00,"R1,064.00","1,074.15",-10.15,-0.94%,clickacompany
26,AON,2024-06-21T17:06:43+02:00,R14.99,14.99,,,clickacompany
27,AOO,2024-06-21T17:06:43+02:00,R16.25,16.25,,,clickacompany
28,AOVP,2024-06-21T17:06:43+02:00,R10.03,10.03,,,clickacompany
29,APF,2024-06-21T17:00:58+02:00,R0.47,0.47,,,clickacompany
30,APN,2024-06-21T17:00:42+02:00,R244.27,247.00,-2.73,-1.11%,clickacompany
31,ARA,2024-06-21T15:15:43+02:00,R7.50,7.10,0.40,5.63%,clickacompany
32,APO,2024-06-21T17:06:43+02:00,R2.99,2.99,,,clickacompany
33,ARI,2024-06-21T17:09:36+02:00,R225.86,225.00,0.86,0.38%,clickacompany
34,ARL,2024-06-21T17:08:46+02:00,R160.00,160.99,-0.99,-0.61%,clickacompany
35,ART,2024-06-21T14:17:58+02:00,R21.46,21.80,-0.34,-1.56%,clickacompany
36,ASC,2024-06-21T11:29:21+02:00,R0.78,0.79,-0.01,-1.27%,clickacompany
37,ATT,2024-06-21T17:00:43+02:00,R10.99,11.19,-0.20,-1.79%,clickacompany
38,AVI,2024-06-21T17:03:07+02:00,R96.24,94.95,1.29,1.36%,clickacompany
39,AYO,2024-06-21T09:43:16+02:00,R0.90,0.93,-0.03,-3.23%,clickacompany
