,0,1,2
39,ATTACQ,Real Estate Investment Trusts,ATTACQ ATT Attacq Ltd. Attacq-Ltd.
40,A-V-I,Food Producers,A-V-I AVI AVI Ltd. AVI-Ltd.
41,AYO,Software and Computer Services,AYO AYO AYO Technology Solutions Ltd. AYO-Technology-Solutions-Ltd.
42,BRAIT,Investment Banking and Brokerage Services,BRAIT BAT Brait plc Brait-plc
43,BARWORLD,General Industrials,BARWORLD BAW Barloworld Ltd. Barloworld-Ltd.
44,BARWORLD6%P,Preference Shares,BARWORLD6%P BAWP Barloworld Ltd. Barloworld-Ltd.
45,BOWCALF,General Industrials,BOWCALF BCF Bowler Metcalf Ltd. Bowler-Metcalf-Ltd.
46,BELL,Industrial Transportation,BELL BEL Bell Equipment Ltd. Bell-Equipment-Ltd.
47,BHP,Industrial Metals and Mining,BHP BHG BHP Group Ltd. BHP-Group-Ltd.
48,BIDCORP,"Personal Care, Drug and Grocery Stores",BIDCORP BID Bid Corporation Ltd. Bid-Corporation-Ltd.
49,BRIKOR,Construction and Materials,BRIKOR BIK Brikor Ltd. Brikor-Ltd.
50,BLUETEL,Telecommunications Service Providers,BLUETEL BLU Blue Label Telecoms Ltd. Blue-Label-Telecoms-Ltd.
51,BIHL EB,Investment Banking and Brokerage Services,BIHL EB BIHLEB Brait plc Brait-plc
52,BRIMST-N,Open End and Miscellaneous Investment Vehicles,BRIMST-N BRN Brimstone Investment Corporation Ltd. Brimstone-Investment-Corporation-Ltd.
53,BRIMSTON,Open End and Miscellaneous Investment Vehicles,BRIMSTON BRT Brimstone Investment Corporation Ltd. Brimstone-Investment-Corporation-Ltd.
54,BASREAD,Construction and Materials,BASREAD BSR Basil Read Holdings Ltd. Basil-Read-Holdings-Ltd.
55,BATS,Tobacco,BATS BTI British American Tobacco plc British-American-Tobacco-plc
56,BUKA,"Personal Care, Drug and Grocery Stores",BUKA BKI Buka Investments Ltd. Buka-Investments-Ltd.
57,BURSTONE,Real Estate Investment Trusts,BURSTONE BTN Burstone Group Ltd. Burstone-Group-Ltd.
58,BIDVEST,General Industrials,BIDVEST BVT The Bidvest Group Ltd. The-Bidvest-Group-Ltd.
59,BALWIN,Real Estate Investment and Services,BALWIN BWN Balwin Properties Ltd. Balwin-Properties-Ltd.
60,BYTES,Software and Computer Services,BYTES BYI Bytes Technology Group plc Bytes-Technology-Group-plc
61,CA SALES,Retailers,CA SALES CAA CA Sales Holdings Ltd. CA-Sales-Holdings-Ltd.
62,CAFCA,Electronic and Electrical Equipment,CAFCA CAC CAFCA Ltd. CAFCA-Ltd.
63,CAPPREC,Software and Computer Services,CAPPREC CTA Capital Appreciation Ltd. Capital-Appreciation-Ltd.
64,CASTLEVIEW,Real Estate Investment Trusts,CASTLEVIEW CVW Castleview Property Fund Ltd. Castleview-Property-Fund-Ltd.
65,CAXTON,Media,CAXTON CAT Caxton and CTP Publishers and Printers Ltd. Caxton-and-CTP-Publishers-and-Printers-Ltd.
66,CAXTON6%CPP,Media,CAXTON6%CPP CATP Caxton and CTP Publishers and Printers Ltd. Caxton-and-CTP-Publishers-and-Printers-Ltd.
67,RICHEMONT,Personal Goods,RICHEMONT CFR Compagnie Financière Richemont SA Compagnie-Financière-Richemont-SA
68,CALGRO,Construction and Materials,CALGRO CGR Calgro M3 Holdings Ltd. Calgro-M3-Holdings-Ltd.
69,CHOPPIES,"Personal Care, Drug and Grocery Stores",CHOPPIES CHP Choppies Enterprises Ltd. Choppies-Enterprises-Ltd.
70,CROOKES,Food Producers,CROOKES CKS Crookes Brothers Ltd. Crookes-Brothers-Ltd.
71,CITYLDG,Travel and Leisure,CITYLDG CLH City Lodge Hotels Ltd. City-Lodge-Hotels-Ltd.
72,CLIENTELE,Life Insurance,CLIENTELE CLI Clientèle Ltd. Clientèle-Ltd.
73,CLICKS,"Personal Care, Drug and Grocery Stores",CLICKS CLS Clicks Group Ltd. Clicks-Group-Ltd.
74,CMH,Retailers,CMH CMH Combined Motor Holdings Ltd. Combined-Motor-Holdings-Ltd.
75,CORONAT,Investment Banking and Brokerage Services,CORONAT CML Coronation Fund Managers Ltd. Coronation-Fund-Managers-Ltd.
76,CHROMETCO,Industrial Metals and Mining,CHROMETCO CMO Chrometco Ltd. Chrometco-Ltd.
77,CONDUIT,Non-life Insurance,CONDUIT CND Conduit Capital Ltd. Conduit-Capital-Ltd.
78,CURRO,Consumer Services,CURRO COH Curro Holdings Ltd. Curro-Holdings-Ltd.
79,COLLINS,Real Estate Investment Trusts,COLLINS CPP Collins Property Group Ltd. Collins-Property-Group-Ltd.
80,COPPER360,Industrial Metals and Mining,COPPER360 CPR Copper 360 Ltd. Copper-360-Ltd.
81,CAPITEC,Banks,CAPITEC CPI Capitec Bank Holdings Ltd. Capitec-Bank-Holdings-Ltd.
82,CAPITEC-P,Preference Shares,CAPITEC-P CPIP Capitec Bank Holdings Ltd. Capitec-Bank-Holdings-Ltd.
83,CAPREG,Real Estate Investment Trusts,CAPREG CRP Capital & Regional plc Capital-&-Regional-plc
84,CASHBIL,Retailers,CASHBIL CSB Cashbuild Ltd. Cashbuild-Ltd.
85,DIS-CHEM,"Personal Care, Drug and Grocery Stores",DIS-CHEM DCP Dis-Chem Pharmacies Ltd. Dis-Chem-Pharmacies-Ltd.
86,DKR,Real Estate Investment Trusts,DKR DKR Deutsche Konsum REIT-AG Deutsche-Konsum-REIT-AG
87,DIPULA B,Real Estate Investment Trusts,DIPULA B DIB Dipula Income Fund Ltd. Dipula-Income-Fund-Ltd.
88,DELPROP,Real Estate Investment Trusts,DELPROP DLT Delta Property Fund Ltd. Delta-Property-Fund-Ltd.
89,DENEB,Investment Banking and Brokerage Services,DENEB DNB Deneb Investments Ltd. Deneb-Investments-Ltd.
90,DRAGLOBAL,Construction and Materials,DRAGLOBAL DRA DRA Global Ltd. DRA-Global-Ltd.
91,DRDGOLD,Precious Metals and Mining,DRDGOLD DRD DRDGOLD Ltd. DRDGOLD-Ltd.
92,DSY B PREF,Preference Shares,DSY B PREF DSBP Discovery Ltd. Discovery-Ltd.
93,DISCOVERY,Life Insurance,DISCOVERY DSY Discovery Ltd. Discovery-Ltd.
94,DATATEC,Software and Computer Services,DATATEC DTC Datatec Ltd. Datatec-Ltd.
95,EFORA,"Oil, Gas and Coal",EFORA EEL Efora Energy Ltd. Efora-Energy-Ltd.
96,ELLIES,Electronic and Electrical Equipment,ELLIES ELI Ellies Holdings Ltd. Ellies-Holdings-Ltd.
97,E MEDIA,Media,E MEDIA EMH eMedia Holdings Ltd. eMedia-Holdings-Ltd.
98,EMIRA,Real Estate Investment Trusts,EMIRA EMI Emira Property Fund Ltd. Emira-Property-Fund-Ltd.
99,E MEDIA-N,Media,E MEDIA-N EMN eMedia Holdings Ltd. eMedia-Holdings-Ltd.
100,ENXGROUP,General Industrials,ENXGROUP ENX enX Group Ltd. enX-Group-Ltd.
101,EOH,Software and Computer Services,EOH EOH EOH Holdings Ltd. EOH-Holdings-Ltd.
102,ETHOSCAP,Closed End Investments,ETHOSCAP EPE EPE Capital Partners Ltd. EPE-Capital-Partners-Ltd.
103,EASTPLATS,Precious Metals and Mining,EASTPLATS EPS Eastern Platinum Ltd. Eastern-Platinum-Ltd.
104,EQUITES,Real Estate Investment Trusts,EQUITES EQU Equites Property Fund Ltd. Equites-Property-Fund-Ltd.
105,EUROMET,Industrial Metals and Mining,EUROMET EUZ Europa Metals Ltd. Europa-Metals-Ltd.
106,EXEMPLAR,Real Estate Investment Trusts,EXEMPLAR EXP Exemplar REITail Ltd. Exemplar-REITail-Ltd.
107,EXXARO,"Oil, Gas and Coal",EXXARO EXX Exxaro Resources Ltd. Exxaro-Resources-Ltd.
108,FTAPROPA,Real Estate Investment Trusts,FTAPROPA FTA Fairvest Ltd. Fairvest-Ltd.
109,FTBPROPB,Real Estate Investment Trusts,FTBPROPB FTB Fairvest Ltd. Fairvest-Ltd.
110,FAMBRANDS,Travel and Leisure,FAMBRANDS FBR Famous Brands Ltd. Famous-Brands-Ltd.
111,FORTRESSB,Real Estate Investment and Services,FORTRESSB FFB Fortress Real Estate Investments Ltd. Fortress-Real-Estate-Investments-Ltd.
112,FINBOND,Banks,FINBOND FGL Finbond Group Ltd. Finbond-Group-Ltd.
113,FRONTIERT,Travel and Leisure,FRONTIERT FTH Frontier Transport Holdings Ltd. Frontier-Transport-Holdings-Ltd.
114,FIRSTRAND,Banks,FIRSTRAND FSR FirstRand Ltd. FirstRand-Ltd.
115,GEMFIELDS,Precious Metals and Mining,GEMFIELDS GML Gemfields Group Ltd. Gemfields-Group-Ltd.
116,GFIELDS,Precious Metals and Mining,GFIELDS GFI Gold Fields Ltd. Gold-Fields-Ltd.
117,GLENCORE,Industrial Metals and Mining,GLENCORE GLN Glencore plc Glencore-plc
118,GRINDROD,Industrial Transportation,GRINDROD GND Grindrod Ltd. Grindrod-Ltd.
119,GRINDROD PREF,Preference Shares,GRINDROD PREF GNDP Grindrod Ltd. Grindrod-Ltd.
120,GRANPRADE,Travel and Leisure,GRANPRADE GPL Grand Parade Investments Ltd. Grand-Parade-Investments-Ltd.
121,GRINSHIP,Industrial Transportation,GRINSHIP GSH Grindrod Shipping Holdings Ltd. Grindrod-Shipping-Holdings-Ltd.
122,GROWPNT,Real Estate Investment Trusts,GROWPNT GRT Growthpoint Properties Ltd. Growthpoint-Properties-Ltd.
123,GTCSA,Real Estate Investment and Services,GTCSA GTC Globe Trade Centre SA Globe-Trade-Centre-SA
124,HARMONY,Precious Metals and Mining,HARMONY HAR Harmony Gold Mining Company Ltd. Harmony-Gold-Mining-Company-Ltd.
125,HCI,Investment Banking and Brokerage Services,HCI HCI Hosken Consolidated Investments Ltd. Hosken-Consolidated-Investments-Ltd.
126,HUDACO,Industrial Support Services,HUDACO HDC Hudaco Industries Ltd. Hudaco-Industries-Ltd.
127,HERIOT,Real Estate Investment Trusts,HERIOT HET Heriot REIT Ltd. Heriot-REIT-Ltd.
128,HOMCHOICE,Retailers,HOMCHOICE HIL Homechoice International plc Homechoice-International-plc
129,HULAMIN,Industrial Metals and Mining,HULAMIN HLM Hulamin Ltd. Hulamin-Ltd.
130,HAMMERSON,Real Estate Investment Trusts,HAMMERSON HMN Hammerson plc Hammerson-plc
131,HUGE,Telecommunications Service Providers,HUGE HUG Huge Group Ltd. Huge-Group-Ltd.
132,HYPROP,Real Estate Investment Trusts,HYPROP HYP Hyprop Investments Ltd. Hyprop-Investments-Ltd.
133,IBEX,Preference Shares,IBEX IBX IBEX Investment Holdings Ltd. IBEX-Investment-Holdings-Ltd.
134,IMPLATS,Precious Metals and Mining,IMPLATS IMP Impala Platinum Holdings Ltd. Impala-Platinum-Holdings-Ltd.
135,INVLTD,Banks,INVLTD INL Investec Ltd. Investec-Ltd.
136,INVPLC,Banks,INVPLC INP Investec plc Investec-plc
137,INVPREF,Preference Shares,INVPREF INPP Investec plc Investec-plc
138,INVPREFR,Preference Shares,INVPREFR INPPR Investec plc Investec-plc
139,INVLTDPREF,Preference Shares,INVLTDPREF INPR Investec Ltd. Investec-Ltd.
140,INVICTA,Industrial Support Services,INVICTA IVT Invicta Holdings Ltd. Invicta-Holdings-Ltd.
141,IVT PREF,Preference Shares,IVT PREF IVTP Invicta Holdings Ltd. Invicta-Holdings-Ltd.
142,ISA,Software and Computer Services,ISA ISA ISA Holdings Ltd. ISA-Holdings-Ltd.
143,INSIMBI,Industrial Metals and Mining,INSIMBI ISB Insimbi Industrial Holdings Ltd. Insimbi-Industrial-Holdings-Ltd.
144,ITLTILE,Retailers,ITLTILE ITE Italtile Ltd. Italtile-Ltd.
145,JUBILEE,Precious Metals and Mining,JUBILEE JBL Jubilee Metals Group plc Jubilee-Metals-Group-plc
146,JSE,Investment Banking and Brokerage Services,JSE JSE JSE Ltd. JSE-Ltd.
147,KAL GROUP,Retailers,KAL GROUP KAL KAL Group Ltd. KAL-Group-Ltd.
148,KAP,General Industrials,KAP KAP KAP Ltd. KAP-Ltd.
149,KAROO,Software and Computer Services,KAROO KRO Karooooo Ltd. Karooooo-Ltd.
150,KIBO,Industrial Metals and Mining,KIBO KBO Kibo Energy plc Kibo-Energy-plc
151,KUMBA,Industrial Metals and Mining,KUMBA KIO Kumba Iron Ore Ltd. Kumba-Iron-Ore-Ltd.
152,KORE,Industrial Metals and Mining,KORE KP2 Kore Potash plc Kore-Potash-plc
153,PSG FIN,Investment Banking and Brokerage Services,PSG FIN KST PSG Financial Services Ltd. PSG-Financial-Services-Ltd.
154,LABAT,Industrial Transportation,LABAT LAB Labat Africa Ltd. Labat-Africa-Ltd.
155,LESAKA,Industrial Support Services,LESAKA LSK Lesaka Technologies Inc. Lesaka-Technologies-Inc.
156,LEWIS,Retailers,LEWIS LEW Lewis Group Ltd. Lewis-Group-Ltd.
157,LIFEHC,Health Care Providers,LIFEHC LHC Life Healthcare Group Holdings Ltd. Life-Healthcare-Group-Holdings-Ltd.
158,LIBSTAR,Food Producers,LIBSTAR LBR Libstar Holdings Ltd. Libstar-Holdings-Ltd.
159,LIGHTPROP,Real Estate Investment and Services,LIGHTPROP LTE Lighthouse Properties plc Lighthouse-Properties-plc
160,LONFIN,Investment Banking and Brokerage Services,LONFIN LNF London Finance & Investment Group plc London-Finance-&-Investment-Group-plc
161,MAHUBE,Electricity,MAHUBE MHB Mahube Infrastructure Ltd. Mahube-Infrastructure-Ltd.
162,MANTENGU,Industrial Engineering,MANTENGU MTU Mantengu Mining Ltd. Mantengu-Mining-Ltd.
163,MC MINING,"Oil, Gas and Coal",MC MINING MCZ MC Mining Ltd. MC-Mining-Ltd.
164,MASTDRILL,Industrial Metals and Mining,MASTDRILL MDI Master Drilling Group Ltd. Master-Drilling-Group-Ltd.
165,METROFILE,Industrial Support Services,METROFILE MFL Metrofile Holdings Ltd. Metrofile-Holdings-Ltd.
166,MARSHALL,Industrial Support Services,MARSHALL MMP Marshall Monteagle plc Marshall-Monteagle-plc
167,MONDIPLC,General Industrials,MONDIPLC MNP Mondi plc Mondi-plc
168,MOMMET,Life Insurance,MOMMET MTM Momentum Metropolitan Holdings Ltd. Momentum-Metropolitan-Holdings-Ltd.
169,MNTKRENEW,Alternative Energy,MNTKRENEW MKR Montauk Renewables Inc. Montauk-Renewables-Inc.
170,MOTUS,Retailers,MOTUS MTH Motus Holdings Ltd. Motus-Holdings-Ltd.
171,MPACT,General Industrials,MPACT MPT Mpact Ltd. Mpact-Ltd.
172,MERAFE,Industrial Metals and Mining,MERAFE MRF Merafe Resources Ltd. Merafe-Resources-Ltd.
173,MRPRICE,Retailers,MRPRICE MRP Mr Price Group Ltd. Mr-Price-Group-Ltd.
174,MAS,Real Estate Investment and Services,MAS MSP MAS plc MAS-plc
175,MUSTEK,Technology Hardware and Equipment,MUSTEK MST Mustek Ltd. Mustek-Ltd.
176,METAIR,Automobiles and Parts,METAIR MTA Metair Investments Ltd. Metair-Investments-Ltd.
177,MTNZFUTHI,Open End and Miscellaneous Investment Vehicles,MTNZFUTHI MTNZF MTN Zakhele Futhi (RF) Ltd. MTN-Zakhele-Futhi-(RF)-Ltd.
178,MTN GROUP,Telecommunications Service Providers,MTN GROUP MTN MTN Group Ltd. MTN-Group-Ltd.
179,MC GROUP,Telecommunications Service Providers,MC GROUP MCG MultiChoice Group Ltd. MultiChoice-Group-Ltd.
180,M&R-HLD,Construction and Materials,M&R-HLD MUR Murray & Roberts Holdings Ltd. Murray-&-Roberts-Holdings-Ltd.
181,NICTUS,Retailers,NICTUS NCS Nictus Ltd. Nictus-Ltd.
182,NEDBANK,Banks,NEDBANK NED Nedbank Group Ltd. Nedbank-Group-Ltd.
183,NINETY 1L,Investment Banking and Brokerage Services,NINETY 1L NY1 Ninety One Ltd. Ninety-One-Ltd.
184,NINETY 1P,Investment Banking and Brokerage Services,NINETY 1P N91 Ninety One plc Ninety-One-plc
185,NORTHAM,Precious Metals and Mining,NORTHAM NPH Northam Platinum Holdings Ltd. Northam-Platinum-Holdings-Ltd.
186,NAMPAK,General Industrials,NAMPAK NPK Nampak Ltd. Nampak-Ltd.
187,NAMPAK 6%P,Preference Shares,NAMPAK 6%P NPKP Nampak Ltd. Nampak-Ltd.
188,NASPERS-N,Software and Computer Services,NASPERS-N NPN Naspers Ltd. Naspers-Ltd.
189,NAMPAK 6.5,Preference Shares,NAMPAK 6.5 NPP1 Nampak Ltd. Nampak-Ltd.
190,NEWPARK,Real Estate Investment Trusts,NEWPARK NRL Newpark REIT Ltd. Newpark-REIT-Ltd.
191,NEPIROCK,Real Estate Investment and Services,NEPIROCK NRP NEPI Rockcastle NV NEPI-Rockcastle-NV
192,NETCARE,Health Care Providers,NETCARE NTC Netcare Ltd. Netcare-Ltd.
193,NTC PREF,Preference Shares,NTC PREF NTCP Netcare Ltd. Netcare-Ltd.
194,NUMERAL,Pharmaceuticals and Biotechnology,NUMERAL XII Numeral Ltd. Numeral-Ltd.
195,NOVUS,Industrial Support Services,NOVUS NVS Novus Holdings Ltd. Novus-Holdings-Ltd.
196,NUWORLD,Leisure Goods,NUWORLD NWL Nu-World Holdings Ltd. Nu-World-Holdings-Ltd.
197,OANDO,"Oil, Gas and Coal",OANDO OAO Oando plc Oando-plc
198,OASIS,Real Estate Investment Trusts,OASIS OAS Oasis Crescent Property Fund Oasis-Crescent-Property-Fund
199,OCEANA,Food Producers,OCEANA OCE Oceana Group Ltd. Oceana-Group-Ltd.
200,OCTODEC,Real Estate Investment Trusts,OCTODEC OCT Octodec Investments Ltd. Octodec-Investments-Ltd.
201,OMUTUAL,Life Insurance,OMUTUAL OMU Old Mutual Ltd. Old-Mutual-Ltd.
202,OMNIA,Chemicals,OMNIA OMN Omnia Holdings Ltd. Omnia-Holdings-Ltd.
203,ORIONMIN,Industrial Metals and Mining,ORIONMIN ORN Orion Minerals Ltd. Orion-Minerals-Ltd.
204,OUTSURE,Non-life Insurance,OUTSURE OUT OUTsurance Group Ltd. OUTsurance-Group-Ltd.
205,PAN-AF,Precious Metals and Mining,PAN-AF PAN Pan African Resources plc Pan-African-Resources-plc
206,PBT GROUP,Software and Computer Services,PBT GROUP PBG PBT Group Ltd. PBT-Group-Ltd.
207,PEPKORH,Retailers,PEPKORH PPH Pepkor Holdings Ltd. Pepkor-Holdings-Ltd.
208,PICKNPAY,"Personal Care, Drug and Grocery Stores",PICKNPAY PIK Pick n Pay Stores Ltd. Pick-n-Pay-Stores-Ltd.
209,PRIMESERV,Industrial Support Services,PRIMESERV PMV Primeserv Group Ltd. Primeserv-Group-Ltd.
210,POWER,Telecommunications Equipment,POWER PWR PowerFleet Inc. PowerFleet-Inc.
211,PPC,Construction and Materials,PPC PPC PPC Ltd. PPC-Ltd.
212,PURPLE,Investment Banking and Brokerage Services,PURPLE PPE Purple Group Ltd. Purple-Group-Ltd.
213,PUTPROP,Real Estate Investment and Services,PUTPROP PPR Putprop Ltd. Putprop-Ltd.
214,PREMIER,Food Producers,PREMIER PMR Premier Group Ltd. Premier-Group-Ltd.
215,PHP,Real Estate Investment Trusts,PHP PHP Primary Health Properties plc Primary-Health-Properties-plc
216,PROSUS,Software and Computer Services,PROSUS PRX Prosus NV Prosus-NV
217,PSV,Industrial Engineering,PSV PSV PSV Holdings Ltd. PSV-Holdings-Ltd.
218,QUANTUM,Food Producers,QUANTUM QFH Quantum Foods Holdings Ltd. Quantum-Foods-Holdings-Ltd.
219,QUILTER,Investment Banking and Brokerage Services,QUILTER QLT Quilter plc Quilter-plc
220,RAC PREFS,Preference Shares,RAC PREFS RACP RECM & Calibre Ltd. RECM-&-Calibre-Ltd.
221,Precious Metals and Mining,Royal Bafokeng Platinum Ltd. Royal-Bafokeng-Platinum-Ltd.,
222,RAUBEX,Construction and Materials,RAUBEX RBX Raubex Group Ltd. Raubex-Group-Ltd.
223,RCL,Food Producers,RCL RCL RCL Foods Ltd. RCL-Foods-Ltd.
224,REDEFINE,Real Estate Investment Trusts,REDEFINE RDF Redefine Properties Ltd. Redefine-Properties-Ltd.
225,REBOSISA,Real Estate Investment Trusts,REBOSISA REA Rebosis Property Fund Ltd. Rebosis-Property-Fund-Ltd.
226,REBOSIS,Real Estate Investment Trusts,REBOSIS REB Rebosis Property Fund Ltd. Rebosis-Property-Fund-Ltd.
227,REINET,Investment Banking and Brokerage Services,REINET RNI Reinet Investments SCA Reinet-Investments-SCA
228,REMGRO,Investment Banking and Brokerage Services,REMGRO REM Remgro Ltd. Remgro-Ltd.
229,RENERGEN,Alternative Energy,RENERGEN REN Renergen Ltd. Renergen-Ltd.
230,RESILIENT,Real Estate Investment Trusts,RESILIENT RES Resilient REIT Ltd. Resilient-REIT-Ltd.
231,RFG,Food Producers,RFG RFG RFG Holdings Ltd. RFG-Holdings-Ltd.
232,RHBOPHELO,Closed End Investments,RHBOPHELO RHB RH Bophelo Ltd. RH-Bophelo-Ltd.
233,REUNERT,Electronic and Electrical Equipment,REUNERT RLO Reunert Ltd. Reunert-Ltd.
234,RMBH,Investment Banking and Brokerage Services,RMBH RMH RMB Holdings Ltd. RMB-Holdings-Ltd.
235,RANGOLD,Precious Metals and Mining,RANGOLD RNG Randgold & Exploration Co Ltd. Randgold-&-Exploration-Co-Ltd.
236,REX TRUE -N-,Retailers,REX TRUE -N- RTN Rex Trueform Group Ltd. Rex-Trueform-Group-Ltd.
237,REX TRUE6%,Preference Shares,REX TRUE6% RTOP Rex Trueform Group Ltd. Rex-Trueform-Group-Ltd.
238,REX TRUE,Retailers,REX TRUE RTO Rex Trueform Group Ltd. Rex-Trueform-Group-Ltd.
239,SOUTH32,Industrial Metals and Mining,SOUTH32 S32 South32 Ltd. South32-Ltd.
240,SABKABILI,Open End and Miscellaneous Investment Vehicles,SABKABILI SZK SAB Zenzele Kabili Holdings (RF) Ltd. SAB-Zenzele-Kabili-Holdings-(RF)-Ltd.
241,SEAM,Industrial Metals and Mining,SEAM SXM Sable Exploration and Mining Ltd. Sable-Exploration-and-Mining-Ltd.
242,SABCAP,Investment Banking and Brokerage Services,SABCAP SBP Sabvest Capital Ltd. Sabvest-Capital-Ltd.
243,SA CORP,Real Estate Investment Trusts,SA CORP SAC SA Corporate Real Estate Ltd. SA-Corporate-Real-Estate-Ltd.
244,SALUNGANO,"Oil, Gas and Coal",SALUNGANO SLG Salungano Group Ltd. Salungano-Group-Ltd.
245,SAPPI,Industrial Materials,SAPPI SAP Sappi Ltd. Sappi-Ltd.
246,SAFARI,Real Estate Investment Trusts,SAFARI SAR Safari Investments RSA Ltd. Safari-Investments-RSA-Ltd.
247,STANBANK6.5,Preference Shares,STANBANK6.5 SBKP Standard Bank Group Ltd. Standard-Bank-Group-Ltd.
248,STANBANK,Banks,STANBANK SBK Standard Bank Group Ltd. Standard-Bank-Group-Ltd.
249,STANBANK-P,Preference Shares,STANBANK-P SBPP Standard Bank Group Ltd. Standard-Bank-Group-Ltd.
250,SERE,Real Estate Investment Trusts,SERE SCD Schroder European Real Estate Investment Trust plc Schroder-European-Real-Estate-Investment-Trust-plc
251,SPEARREIT,Real Estate Investment Trusts,SPEARREIT SEA Spear REIT Ltd. Spear-REIT-Ltd.
252,SEBATA,Software and Computer Services,SEBATA SEB Sebata Holdings Ltd. Sebata-Holdings-Ltd.
253,SEPHAKU,Construction and Materials,SEPHAKU SEP Sephaku Holdings Ltd. Sephaku-Holdings-Ltd.
