,0,1,2
253,SEBATA,Software and Computer Services,SEBATA SEB Sebata Holdings Ltd. Sebata-Holdings-Ltd.
254,SEPHAKU,Construction and Materials,SEPHAKU SEP Sephaku Holdings Ltd. Sephaku-Holdings-Ltd.
255,SASFIN,Investment Banking and Brokerage Services,SASFIN SFN Sasfin Holdings Ltd. Sasfin-Holdings-Ltd.
256,SHBCAP,Real Estate Investment Trusts,SHBCAP SHC Shaftesbury Capital plc Shaftesbury-Capital-plc
257,SEAHARVST,Food Producers,SEAHARVST SHG Sea Harvest Group Ltd. Sea-Harvest-Group-Ltd.
258,SHOPRIT,"Personal Care, Drug and Grocery Stores",SHOPRIT SHP Shoprite Holdings Ltd. Shoprite-Holdings-Ltd.
259,SIBANYE-S,Precious Metals and Mining,SIBANYE-S SSW Sibanye Stillwater Ltd. Sibanye-Stillwater-Ltd.
260,SANLAM,Life Insurance,SANLAM SLM Sanlam Ltd. Sanlam-Ltd.
261,SANTAM,Non-life Insurance,SANTAM SNT Santam Ltd. Santam-Ltd.
262,SANTOVA,Industrial Transportation,SANTOVA SNV Santova Ltd. Santova-Ltd.
263,S.OCEAN,Electronic and Electrical Equipment,S.OCEAN SOH South Ocean Holdings Ltd. South-Ocean-Holdings-Ltd.
264,BEE-SASOL,Chemicals,BEE-SASOL SOLBE1 Sasol Ltd. Sasol-Ltd.
265,SASOL,Chemicals,SASOL SOL Sasol Ltd. Sasol-Ltd.
266,SOUTH PD,Precious Metals and Mining,SOUTH PD SDL Southern Palladium Ltd. Southern-Palladium-Ltd.
267,SSU,Travel and Leisure,SSU SSU Southern Sun Ltd. Southern-Sun-Ltd.
268,SUPRGRP,Industrial Transportation,SUPRGRP SPG Super Group Ltd. Super-Group-Ltd.
269,SPAR,"Personal Care, Drug and Grocery Stores",SPAR SPP The SPAR Group Ltd. The-SPAR-Group-Ltd.
270,SIRIUS,Real Estate Investment Trusts,SIRIUS SRE Sirius Real Estate Ltd. Sirius-Real-Estate-Ltd.
271,STEFSTOCK,Construction and Materials,STEFSTOCK SSK Stefanutti Stocks Holdings Ltd. Stefanutti-Stocks-Holdings-Ltd.
272,STOR-AGE,Real Estate Investment Trusts,STOR-AGE SSS Stor-Age Property REIT Ltd. Stor-Age-Property-REIT-Ltd.
273,STADIO,Consumer Services,STADIO SDO Stadio Holdings Ltd. Stadio-Holdings-Ltd.
274,SUNINT,Travel and Leisure,SUNINT SUI Sun International Ltd. Sun-International-Ltd.
275,SPURCORP,Travel and Leisure,SPURCORP SUR Spur Corporation Ltd. Spur-Corporation-Ltd.
276,SYGNIA,Investment Banking and Brokerage Services,SYGNIA SYG Sygnia Ltd. Sygnia-Ltd.
277,TIGBRANDS,Food Producers,TIGBRANDS TBS Tiger Brands Ltd. Tiger-Brands-Ltd.
278,TRANSCAP,Finance and Credit Services,TRANSCAP TCP Transaction Capital Ltd. Transaction-Capital-Ltd.
279,TEX,Real Estate Investment Trusts,TEX TEX Texton Property Fund Ltd. Texton-Property-Fund-Ltd.
280,TFG PREF,Preference Shares,TFG PREF TFGP The Foschini Group Ltd. The-Foschini-Group-Ltd.
281,TFG,Retailers,TFG TFG The Foschini Group Ltd. The-Foschini-Group-Ltd.
282,THARISA,Industrial Metals and Mining,THARISA THA Tharisa plc Tharisa-plc
283,THUNGELA,"Oil, Gas and Coal",THUNGELA TGA Thungela Resources Ltd. Thungela-Resources-Ltd.
284,TELKOM,Telecommunications Service Providers,TELKOM TKG Telkom SA SOC Ltd. Telkom-SA-SOC-Ltd.
285,TELEMASTR,Telecommunications Service Providers,TELEMASTR TLM TeleMasters Holdings Ltd. TeleMasters-Holdings-Ltd.
286,TREMATON,Closed End Investments,TREMATON TMT Trematon Capital Investments Ltd. Trematon-Capital-Investments-Ltd.
287,TONGAAT,Food Producers,TONGAAT TON Tongaat Hulett Ltd. Tongaat-Hulett-Ltd.
288,TRNPACO,General Industrials,TRNPACO TPC Transpaco Ltd. Transpaco-Ltd.
289,TRENCOR,Industrial Transportation,TRENCOR TRE Trencor Ltd. Trencor-Ltd.
290,TRELLIDOR,Construction and Materials,TRELLIDOR TRL Trellidor Holdings Ltd. Trellidor-Holdings-Ltd.
291,TRUWTHS,Retailers,TRUWTHS TRU Truworths International Ltd. Truworths-International-Ltd.
292,TSOGO SUN,Travel and Leisure,TSOGO SUN TSG Tsogo Sun Ltd. Tsogo-Sun-Ltd.
293,TRUSTCO,Investment Banking and Brokerage Services,TRUSTCO TTO Trustco Group Holdings Ltd. Trustco-Group-Holdings-Ltd.
294,UPARTNERS,Investment Banking and Brokerage Services,UPARTNERS UPL Universal Partners Ltd. Universal-Partners-Ltd.
295,VISUAL,Real Estate Investment and Services,VISUAL VIS Visual International Holdings Ltd. Visual-International-Holdings-Ltd.
296,VUKILE,Real Estate Investment Trusts,VUKILE VKE Vukile Property Fund Ltd. Vukile-Property-Fund-Ltd.
297,VODACOM,Telecommunications Service Providers,VODACOM VOD Vodacom Group Ltd. Vodacom-Group-Ltd.
298,VUNANI,Investment Banking and Brokerage Services,VUNANI VUN Vunani Ltd. Vunani-Ltd.
299,WBHO,Construction and Materials,WBHO WBO Wilson Bayly Holmes - Ovcon Ltd. Wilson-Bayly-Holmes---Ovcon-Ltd.
300,WEBUYCARS,Retailers,WEBUYCARS WBC We Buy Cars Holdings Ltd. We-Buy-Cars-Holdings-Ltd.
301,WESIZWE,Precious Metals and Mining,WESIZWE WEZ Wesizwe Platinum Ltd. Wesizwe-Platinum-Ltd.
302,WOOLIES,Retailers,WOOLIES WHL Woolworths Holdings Ltd. Woolworths-Holdings-Ltd.
303,WORKFORCE,Industrial Support Services,WORKFORCE WKF Workforce Holdings Ltd. Workforce-Holdings-Ltd.
304,YORK,Industrial Materials,YORK YRK York Timber Holdings Ltd. York-Timber-Holdings-Ltd.
305,YEBOYETHU,Open End and Miscellaneous Investment Vehicles,YEBOYETHU YYLBEE YeboYethu Ltd. YeboYethu-Ltd.
306,ZEDA,Consumer Services,ZEDA ZZD Zeda Ltd. Zeda-Ltd.
307,ZEDER,Investment Banking and Brokerage Services,ZEDER ZED Zeder Investments Ltd. Zeder-Investments-Ltd.
