,0,1,2
56,BUKA,"Personal Care, Drug and Grocery Stores",BUKA BKI Buka Investments Ltd. Buka-Investments-Ltd.
57,BURSTONE,Real Estate Investment Trusts,BURSTONE BTN Burstone Group Ltd. Burstone-Group-Ltd.
58,BIDVEST,General Industrials,BIDVEST BVT The Bidvest Group Ltd. The-Bidvest-Group-Ltd.
59,BALWIN,Real Estate Investment and Services,BALWIN BWN Balwin Properties Ltd. Balwin-Properties-Ltd.
60,BYTES,Software and Computer Services,BYTES BYI Bytes Technology Group plc Bytes-Technology-Group-plc
61,CA SALES,Retailers,CA SALES CAA CA Sales Holdings Ltd. CA-Sales-Holdings-Ltd.
62,CAFCA,Electronic and Electrical Equipment,CAFCA CAC CAFCA Ltd. CAFCA-Ltd.
63,CAPPREC,Software and Computer Services,CAPPREC CTA Capital Appreciation Ltd. Capital-Appreciation-Ltd.
64,CASTLEVIEW,Real Estate Investment Trusts,CASTLEVIEW CVW Castleview Property Fund Ltd. Castleview-Property-Fund-Ltd.
65,CAXTON,Media,CAXTON CAT Caxton and CTP Publishers and Printers Ltd. Caxton-and-CTP-Publishers-and-Printers-Ltd.
66,CAXTON6%CPP,Media,CAXTON6%CPP CATP Caxton and CTP Publishers and Printers Ltd. Caxton-and-CTP-Publishers-and-Printers-Ltd.
67,RICHEMONT,Personal Goods,RICHEMONT CFR Compagnie Financière Richemont SA Compagnie-Financière-Richemont-SA
68,COGNITION,Software and Computer Services,COGNITION CGN Cognition Holdings Ltd. Cognition-Holdings-Ltd.
69,CALGRO,Construction and Materials,CALGRO CGR Calgro M3 Holdings Ltd. Calgro-M3-Holdings-Ltd.
70,CHOPPIES,"Personal Care, Drug and Grocery Stores",CHOPPIES CHP Choppies Enterprises Ltd. Choppies-Enterprises-Ltd.
71,CROOKES,Food Producers,CROOKES CKS Crookes Brothers Ltd. Crookes-Brothers-Ltd.
72,CITYLDG,Travel and Leisure,CITYLDG CLH City Lodge Hotels Ltd. City-Lodge-Hotels-Ltd.
73,CLIENTELE,Life Insurance,CLIENTELE CLI Clientèle Ltd. Clientèle-Ltd.
74,CLICKS,"Personal Care, Drug and Grocery Stores",CLICKS CLS Clicks Group Ltd. Clicks-Group-Ltd.
75,CMH,Retailers,CMH CMH Combined Motor Holdings Ltd. Combined-Motor-Holdings-Ltd.
